d,delta_1,delta_L,acc,lb_fail,ub_acc,acc_25,acc_50,acc_75
95,0.012820512820512775,0.4904952476238119,0.08,0.20958053957628955,0.7904194604237105,0.01,0.05,0.06
90,0.02631578947368418,0.49099099099099097,0.13,0.1141986502910642,0.8858013497089358,0.03,0.01,0.12
85,0.04054054054054057,0.49148723084626944,0.22,0.0349718885331106,0.9650281114668894,0.04,0.08,0.16
80,0.05555555555555558,0.49198396793587185,0.28,0.004957156972512396,0.9950428430274876,0.01,0.05,0.26
75,0.0714285714285714,0.49248120300751885,0.28,0.000250393368261778,0.9997496066317382,0.0,0.07,0.23
70,0.08823529411764708,0.49297893681043126,0.37,3.1559264168891667e-06,0.9999968440735831,0.08,0.08,0.33
60,0.125,0.49397590361445776,0.55,8.926568731292798e-13,0.9999999999991074,0.06,0.1,0.37
50,0.16666666666666663,0.4949748743718593,0.54,1.062041597828712e-25,1.0,0.04,0.07,0.48
40,0.2142857142857143,0.4959758551307847,0.68,1.3772781570964362e-51,1.0,0.07,0.14,0.6
25,0.30000000000000004,0.4974811083123426,0.9,1.825169445618034e-158,1.0,0.06,0.21,0.83
10,0.40909090909090906,0.49899091826437936,0.99,0.0,1.0,0.11,0.43,0.99
