Budget,Robust-FW_mean,Robust-FW_std,PARWiS_mean,PARWiS_std,SELECT_mean,SELECT_std,RUCB_mean,RUCB_std,MultiSort_mean,MultiSort_std,Knockout_mean,Knockout_std
1,0.005000,0.070534,0.060000,0.237487,0.000000,0.000000,0.005000,0.070534,0.000000,0.000000,0.015000,0.121552
2,0.005000,0.070534,0.060000,0.237487,0.000000,0.000000,0.010000,0.099499,0.000000,0.000000,0.015000,0.121552
3,0.005000,0.070534,0.060000,0.237487,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,0.121552
4,0.010000,0.099499,0.060000,0.237487,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,0.121552
5,0.015000,0.121552,0.060000,0.237487,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,0.121552
6,0.020000,0.140000,0.060000,0.237487,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,0.020000,0.140000,0.060000,0.237487,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,0.020000,0.140000,0.060000,0.237487,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,0.020000,0.140000,0.060000,0.237487,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,0.121552
10,0.020000,0.140000,0.060000,0.237487,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,0.121552
11,0.020000,0.140000,0.060000,0.237487,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,0.121552
12,0.030000,0.170587,0.060000,0.237487,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.099499
13,0.035000,0.183780,0.060000,0.237487,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.099499
14,0.035000,0.183780,0.060000,0.237487,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.099499
15,0.030000,0.170587,0.060000,0.237487,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.140000
16,0.030000,0.170587,0.060000,0.237487,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.140000
17,0.030000,0.170587,0.060000,0.237487,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.140000
