Budget, Robust-FW_mean, Robust-FW_std, PARWiS_mean, PARWiS_std, SELECT_mean, SELECT_std, RUCB_mean, RUCB_std, MultiSort_mean, MultiSort_std, Knockout_mean, Knockout_std
     1,       0.005000,      0.070534,    0.515000,   0.499775,    0.000000,   0.000000,  0.005000, 0.070534,       0.000000,      0.000000,      0.015000,     0.121552
     2,       0.005000,      0.070534,    0.515000,   0.499775,    0.000000,   0.000000,  0.010000, 0.099499,       0.000000,      0.000000,      0.015000,     0.121552
     3,       0.005000,      0.070534,    0.515000,   0.499775,    0.000000,   0.000000,  0.000000, 0.000000,       0.000000,      0.000000,      0.025000,     0.156125
     4,       0.025000,      0.156125,    0.515000,   0.499775,    0.000000,   0.000000,  0.000000, 0.000000,       0.000000,      0.000000,      0.025000,     0.156125
     5,       0.030000,      0.170587,    0.515000,   0.499775,    0.000000,   0.000000,  0.000000, 0.000000,       0.000000,      0.000000,      0.025000,     0.156125
     6,       0.030000,      0.170587,    0.515000,   0.499775,    0.000000,   0.000000,  0.000000, 0.000000,       0.000000,      0.000000,      0.010000,     0.099499
     7,       0.030000,      0.170587,    0.515000,   0.499775,    0.000000,   0.000000,  0.000000, 0.000000,       0.000000,      0.000000,      0.010000,     0.099499
     8,       0.030000,      0.170587,    0.515000,   0.499775,    0.000000,   0.000000,  0.000000, 0.000000,       0.000000,      0.000000,      0.010000,     0.099499
     9,       0.035000,      0.183780,    0.515000,   0.499775,    0.000000,   0.000000,  0.000000, 0.000000,       0.000000,      0.000000,      0.020000,     0.140000
    10,       0.035000,      0.183780,    0.515000,   0.499775,    0.000000,   0.000000,  0.000000, 0.000000,       0.000000,      0.000000,      0.020000,     0.140000
    11,       0.040000,      0.195959,    0.515000,   0.499775,    0.000000,   0.000000,  0.000000, 0.000000,       0.000000,      0.000000,      0.020000,     0.140000
    12,       0.055000,      0.227980,    0.515000,   0.499775,    0.000000,   0.000000,  0.000000, 0.000000,       0.000000,      0.000000,      0.010000,     0.099499
    13,       0.060000,      0.237487,    0.515000,   0.499775,    0.000000,   0.000000,  0.000000, 0.000000,       0.000000,      0.000000,      0.010000,     0.099499
    14,       0.065000,      0.246526,    0.515000,   0.499775,    0.000000,   0.000000,  0.000000, 0.000000,       0.000000,      0.000000,      0.010000,     0.099499
    15,       0.065000,      0.246526,    0.515000,   0.499775,    0.000000,   0.000000,  0.000000, 0.000000,       0.000000,      0.000000,      0.025000,     0.156125
    16,       0.065000,      0.246526,    0.515000,   0.499775,    0.000000,   0.000000,  0.000000, 0.000000,       0.000000,      0.000000,      0.025000,     0.156125
    17,       0.065000,      0.246526,    0.515000,   0.499775,    0.000000,   0.000000,  0.000000, 0.000000,       0.000000,      0.000000,      0.025000,     0.156125
    18,       0.060000,      0.237487,    0.515000,   0.499775,    0.000000,   0.000000,  0.000000, 0.000000,       0.000000,      0.000000,      0.020000,     0.140000
    19,       0.060000,      0.237487,    0.515000,   0.499775,    0.000000,   0.000000,  0.000000, 0.000000,       0.000000,      0.000000,      0.020000,     0.140000
    20,       0.065000,      0.246526,    0.515000,   0.499775,    0.000000,   0.000000,  0.000000, 0.000000,       0.000000,      0.000000,      0.020000,     0.140000
    21,       0.060000,      0.237487,    0.515000,   0.499775,    0.000000,   0.000000,  0.000000, 0.000000,       0.000000,      0.000000,      0.015000,     0.121552
    22,       0.060000,      0.237487,    0.515000,   0.499775,    0.000000,   0.000000,  0.000000, 0.000000,       0.000000,      0.000000,      0.015000,     0.121552
    23,       0.060000,      0.237487,    0.515000,   0.499775,    0.000000,   0.000000,  0.000000, 0.000000,       0.000000,      0.000000,      0.015000,     0.121552
    24,       0.055000,      0.227980,    0.515000,   0.499775,    0.000000,   0.000000,  0.000000, 0.000000,       0.000000,      0.000000,      0.020000,     0.140000
    25,       0.055000,      0.227980,    0.515000,   0.499775,    0.000000,   0.000000,  0.000000, 0.000000,       0.000000,      0.000000,      0.020000,     0.140000
    26,       0.055000,      0.227980,    0.515000,   0.499775,    0.000000,   0.000000,  0.000000, 0.000000,       0.000000,      0.000000,      0.020000,     0.140000
    27,       0.080000,      0.271293,    0.515000,   0.499775,    0.000000,   0.000000,  0.000000, 0.000000,       0.000000,      0.000000,      0.030000,     0.170587
    28,       0.080000,      0.271293,    0.515000,   0.499775,    0.000000,   0.000000,  0.000000, 0.000000,       0.000000,      0.000000,      0.030000,     0.170587
    29,       0.080000,      0.271293,    0.515000,   0.499775,    0.000000,   0.000000,  0.000000, 0.000000,       0.000000,      0.000000,      0.030000,     0.170587
    30,       0.080000,      0.271293,    0.515000,   0.499775,    0.000000,   0.000000,  0.000000, 0.000000,       0.000000,      0.000000,      0.035000,     0.183780
    31,       0.080000,      0.271293,    0.515000,   0.499775,    0.000000,   0.000000,  0.000000, 0.000000,       0.000000,      0.000000,      0.035000,     0.183780
    32,       0.080000,      0.271293,    0.515000,   0.499775,    0.000000,   0.000000,  0.000000, 0.000000,       0.000000,      0.000000,      0.035000,     0.183780
    33,       0.060000,      0.237487,    0.515000,   0.499775,    0.000000,   0.000000,  0.000000, 0.000000,       0.000000,      0.000000,      0.020000,     0.140000
    34,       0.060000,      0.237487,    0.515000,   0.499775,    0.000000,   0.000000,  0.000000, 0.000000,       0.000000,      0.000000,      0.020000,     0.140000
    35,       0.060000,      0.237487,    0.515000,   0.499775,    0.000000,   0.000000,  0.000000, 0.000000,       0.000000,      0.000000,      0.020000,     0.140000
    36,       0.060000,      0.237487,    0.515000,   0.499775,    0.000000,   0.000000,  0.000000, 0.000000,       0.000000,      0.000000,      0.030000,     0.170587
    37,       0.060000,      0.237487,    0.515000,   0.499775,    0.000000,   0.000000,  0.000000, 0.000000,       0.000000,      0.000000,      0.030000,     0.170587
    38,       0.060000,      0.237487,    0.515000,   0.499775,    0.000000,   0.000000,  0.000000, 0.000000,       0.000000,      0.000000,      0.030000,     0.170587
    39,       0.055000,      0.227980,    0.515000,   0.499775,    0.000000,   0.000000,  0.000000, 0.000000,       0.000000,      0.000000,      0.005000,     0.070534
    40,       0.055000,      0.227980,    0.515000,   0.499775,    0.000000,   0.000000,  0.000000, 0.000000,       0.000000,      0.000000,      0.005000,     0.070534
    41,       0.055000,      0.227980,    0.515000,   0.499775,    0.000000,   0.000000,  0.000000, 0.000000,       0.000000,      0.000000,      0.005000,     0.070534
    42,       0.045000,      0.207304,    0.515000,   0.499775,    0.000000,   0.000000,  0.000000, 0.000000,       0.000000,      0.000000,      0.020000,     0.140000
    43,       0.045000,      0.207304,    0.515000,   0.499775,    0.000000,   0.000000,  0.000000, 0.000000,       0.000000,      0.000000,      0.020000,     0.140000
    44,       0.045000,      0.207304,    0.515000,   0.499775,    0.000000,   0.000000,  0.000000, 0.000000,       0.000000,      0.000000,      0.020000,     0.140000
    45,       0.040000,      0.195959,    0.515000,   0.499775,    0.000000,   0.000000,  0.000000, 0.000000,       0.000000,      0.000000,      0.005000,     0.070534
    46,       0.040000,      0.195959,    0.515000,   0.499775,    0.000000,   0.000000,  0.000000, 0.000000,       0.000000,      0.000000,      0.005000,     0.070534
    47,       0.040000,      0.195959,    0.515000,   0.499775,    0.000000,   0.000000,  0.000000, 0.000000,       0.000000,      0.000000,      0.005000,     0.070534
    48,       0.040000,      0.195959,    0.515000,   0.499775,    0.000000,   0.000000,  0.000000, 0.000000,       0.000000,      0.000000,      0.040000,     0.195959
    49,       0.040000,      0.195959,    0.515000,   0.499775,    0.000000,   0.000000,  0.000000, 0.000000,       0.000000,      0.000000,      0.040000,     0.195959
    50,       0.040000,      0.195959,    0.515000,   0.499775,    0.000000,   0.000000,  0.000000, 0.000000,       0.000000,      0.000000,      0.040000,     0.195959
    51,       0.035000,      0.183780,    0.515000,   0.499775,    0.000000,   0.000000,  0.000000, 0.000000,       0.000000,      0.000000,      0.010000,     0.099499
    52,       0.035000,      0.183780,    0.515000,   0.499775,    0.000000,   0.000000,  0.000000, 0.000000,       0.000000,      0.000000,      0.010000,     0.099499
    53,       0.035000,      0.183780,    0.515000,   0.499775,    0.000000,   0.000000,  0.000000, 0.000000,       0.000000,      0.000000,      0.010000,     0.099499
    54,       0.030000,      0.170587,    0.515000,   0.499775,    0.000000,   0.000000,  0.000000, 0.000000,       0.000000,      0.000000,      0.025000,     0.156125
    55,       0.030000,      0.170587,    0.515000,   0.499775,    0.000000,   0.000000,  0.000000, 0.000000,       0.000000,      0.000000,      0.025000,     0.156125
