Budget,Robust-FW_mean,Robust-FW_std,PARWiS_mean,PARWiS_std,SELECT_mean,SELECT_std,RUCB_mean,RUCB_std,MultiSort_mean,MultiSort_std,Knockout_mean,Knockout_std
1,0.010000,0.099499,0.200000,0.400000,0.000000,0.000000,0.005000,0.070534,0.000000,0.000000,0.000000,0.000000
2,0.010000,0.099499,0.200000,0.400000,0.000000,0.000000,0.010000,0.099499,0.000000,0.000000,0.000000,0.000000
3,0.010000,0.099499,0.200000,0.400000,0.000000,0.000000,0.005000,0.070534,0.000000,0.000000,0.015000,0.121552
4,0.010000,0.099499,0.200000,0.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,0.121552
5,0.010000,0.099499,0.200000,0.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,0.121552
6,0.015000,0.121552,0.200000,0.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.099499
7,0.015000,0.121552,0.200000,0.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.099499
8,0.015000,0.121552,0.200000,0.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.099499
9,0.025000,0.156125,0.200000,0.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.099499
10,0.025000,0.156125,0.200000,0.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.099499
11,0.030000,0.170587,0.200000,0.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.099499
12,0.030000,0.170587,0.200000,0.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,0.121552
13,0.030000,0.170587,0.200000,0.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,0.121552
14,0.030000,0.170587,0.200000,0.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,0.121552
15,0.040000,0.195959,0.200000,0.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.099499
