Budget,Robust-FW_mean,Robust-FW_std,PARWiS_mean,PARWiS_std,SELECT_mean,SELECT_std,RUCB_mean,RUCB_std,MultiSort_mean,MultiSort_std,Knockout_mean,Knockout_std
1,0.015000,0.121552,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005000,0.070534
2,0.010000,0.099499,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005000,0.070534
3,0.015000,0.121552,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.140000
4,0.005000,0.070534,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.140000
5,0.015000,0.121552,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.140000
6,0.005000,0.070534,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.030000,0.170587
7,0.005000,0.070534,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.030000,0.170587
8,0.005000,0.070534,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.030000,0.170587
9,0.005000,0.070534,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.099499
10,0.010000,0.099499,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.099499
11,0.010000,0.099499,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.099499
12,0.010000,0.099499,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,0.121552
13,0.010000,0.099499,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,0.121552
14,0.010000,0.099499,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,0.121552
15,0.005000,0.070534,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.099499
16,0.005000,0.070534,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.099499
17,0.005000,0.070534,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.099499
18,0.005000,0.070534,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.140000
19,0.005000,0.070534,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.140000
20,0.005000,0.070534,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.140000
21,0.005000,0.070534,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.030000,0.170587
22,0.005000,0.070534,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.030000,0.170587
23,0.005000,0.070534,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.030000,0.170587
24,0.005000,0.070534,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.099499
25,0.005000,0.070534,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.099499
26,0.005000,0.070534,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.099499
27,0.005000,0.070534,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
28,0.005000,0.070534,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
29,0.005000,0.070534,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
30,0.005000,0.070534,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.099499
31,0.005000,0.070534,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.099499
32,0.005000,0.070534,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.099499
33,0.000000,0.000000,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,0.121552
34,0.000000,0.000000,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,0.121552
35,0.000000,0.000000,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,0.121552
36,0.000000,0.000000,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.025000,0.156125
37,0.000000,0.000000,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.025000,0.156125
38,0.000000,0.000000,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.025000,0.156125
39,0.000000,0.000000,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005000,0.070534
40,0.000000,0.000000,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005000,0.070534
41,0.000000,0.000000,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005000,0.070534
42,0.000000,0.000000,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.099499
43,0.000000,0.000000,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.099499
44,0.000000,0.000000,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.099499
45,0.000000,0.000000,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.099499
46,0.000000,0.000000,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.099499
47,0.000000,0.000000,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.099499
48,0.000000,0.000000,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005000,0.070534
49,0.000000,0.000000,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005000,0.070534
50,0.000000,0.000000,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005000,0.070534
51,0.000000,0.000000,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.140000
52,0.000000,0.000000,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.140000
53,0.000000,0.000000,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.140000
54,0.000000,0.000000,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.140000
55,0.000000,0.000000,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.140000
56,0.000000,0.000000,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.140000
57,0.000000,0.000000,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.025000,0.156125
58,0.000000,0.000000,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.025000,0.156125
59,0.000000,0.000000,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.025000,0.156125
60,0.000000,0.000000,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
61,0.000000,0.000000,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
62,0.000000,0.000000,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
63,0.000000,0.000000,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,0.121552
64,0.000000,0.000000,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,0.121552
65,0.000000,0.000000,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,0.121552
66,0.000000,0.000000,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,0.121552
67,0.000000,0.000000,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,0.121552
68,0.000000,0.000000,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,0.121552
69,0.000000,0.000000,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.099499
70,0.000000,0.000000,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.099499
71,0.005000,0.070534,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.099499
72,0.000000,0.000000,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.140000
73,0.000000,0.000000,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.140000
74,0.000000,0.000000,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.140000
75,0.000000,0.000000,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.099499
76,0.000000,0.000000,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.099499
77,0.000000,0.000000,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.099499
78,0.000000,0.000000,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005000,0.070534
79,0.000000,0.000000,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005000,0.070534
80,0.000000,0.000000,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005000,0.070534
81,0.000000,0.000000,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,0.121552
82,0.000000,0.000000,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,0.121552
83,0.000000,0.000000,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,0.121552
84,0.000000,0.000000,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.099499
85,0.000000,0.000000,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.099499
86,0.000000,0.000000,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.099499
87,0.000000,0.000000,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.030000,0.170587
88,0.000000,0.000000,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.030000,0.170587
89,0.000000,0.000000,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.030000,0.170587
90,0.000000,0.000000,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.099499
91,0.000000,0.000000,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.099499
92,0.000000,0.000000,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.099499
93,0.000000,0.000000,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.030000,0.170587
94,0.000000,0.000000,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.030000,0.170587
95,0.000000,0.000000,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.030000,0.170587
96,0.000000,0.000000,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,0.121552
97,0.000000,0.000000,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,0.121552
98,0.000000,0.000000,0.045000,0.207304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,0.121552
99,0.000000,0.000000,0.045000,0.207304,0.050000,0.217945,0.000000,0.000000,0.000000,0.000000,0.025000,0.156125
100,0.000000,0.000000,0.055000,0.227980,0.050000,0.217945,0.000000,0.000000,0.000000,0.000000,0.025000,0.156125
101,0.000000,0.000000,0.065000,0.246526,0.050000,0.217945,0.000000,0.000000,0.000000,0.000000,0.025000,0.156125
102,0.000000,0.000000,0.060000,0.237487,0.050000,0.217945,0.000000,0.000000,0.000000,0.000000,0.035000,0.183780
103,0.000000,0.000000,0.060000,0.237487,0.050000,0.217945,0.000000,0.000000,0.000000,0.000000,0.035000,0.183780
104,0.000000,0.000000,0.060000,0.237487,0.050000,0.217945,0.000000,0.000000,0.000000,0.000000,0.035000,0.183780
105,0.000000,0.000000,0.060000,0.237487,0.050000,0.217945,0.000000,0.000000,0.000000,0.000000,0.015000,0.121552
106,0.000000,0.000000,0.065000,0.246526,0.050000,0.217945,0.000000,0.000000,0.000000,0.000000,0.015000,0.121552
107,0.000000,0.000000,0.060000,0.237487,0.050000,0.217945,0.000000,0.000000,0.000000,0.000000,0.015000,0.121552
108,0.000000,0.000000,0.060000,0.237487,0.050000,0.217945,0.000000,0.000000,0.000000,0.000000,0.010000,0.099499
109,0.010000,0.099499,0.060000,0.237487,0.050000,0.217945,0.000000,0.000000,0.000000,0.000000,0.010000,0.099499
110,0.015000,0.121552,0.060000,0.237487,0.050000,0.217945,0.000000,0.000000,0.000000,0.000000,0.010000,0.099499
111,0.020000,0.140000,0.060000,0.237487,0.050000,0.217945,0.000000,0.000000,0.000000,0.000000,0.015000,0.121552
112,0.020000,0.140000,0.060000,0.237487,0.050000,0.217945,0.000000,0.000000,0.000000,0.000000,0.015000,0.121552
113,0.015000,0.121552,0.060000,0.237487,0.050000,0.217945,0.000000,0.000000,0.000000,0.000000,0.015000,0.121552
114,0.020000,0.140000,0.060000,0.237487,0.050000,0.217945,0.000000,0.000000,0.000000,0.000000,0.020000,0.140000
115,0.020000,0.140000,0.060000,0.237487,0.050000,0.217945,0.000000,0.000000,0.000000,0.000000,0.020000,0.140000
116,0.020000,0.140000,0.060000,0.237487,0.050000,0.217945,0.000000,0.000000,0.000000,0.000000,0.020000,0.140000
117,0.020000,0.140000,0.065000,0.246526,0.050000,0.217945,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
118,0.015000,0.121552,0.065000,0.246526,0.050000,0.217945,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
119,0.025000,0.156125,0.060000,0.237487,0.050000,0.217945,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
120,0.020000,0.140000,0.060000,0.237487,0.050000,0.217945,0.000000,0.000000,0.000000,0.000000,0.015000,0.121552
121,0.020000,0.140000,0.060000,0.237487,0.050000,0.217945,0.000000,0.000000,0.000000,0.000000,0.015000,0.121552
122,0.020000,0.140000,0.060000,0.237487,0.050000,0.217945,0.000000,0.000000,0.000000,0.000000,0.015000,0.121552
123,0.020000,0.140000,0.060000,0.237487,0.050000,0.217945,0.000000,0.000000,0.000000,0.000000,0.015000,0.121552
