Budget,Robust-FW_mean,Robust-FW_std,PARWiS_mean,PARWiS_std,SELECT_mean,SELECT_std,RUCB_mean,RUCB_std,MultiSort_mean,MultiSort_std,Knockout_mean,Knockout_std
1,0.010000,0.099499,0.145000,0.352101,0.000000,0.000000,0.015000,0.121552,0.000000,0.000000,0.020000,0.140000
2,0.010000,0.099499,0.145000,0.352101,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.140000
3,0.010000,0.099499,0.145000,0.352101,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.040000,0.195959
4,0.005000,0.070534,0.145000,0.352101,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.040000,0.195959
5,0.015000,0.121552,0.145000,0.352101,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.040000,0.195959
6,0.010000,0.099499,0.145000,0.352101,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,0.121552
7,0.010000,0.099499,0.145000,0.352101,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,0.121552
8,0.010000,0.099499,0.145000,0.352101,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,0.121552
9,0.015000,0.121552,0.145000,0.352101,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.099499
10,0.015000,0.121552,0.145000,0.352101,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.099499
11,0.020000,0.140000,0.145000,0.352101,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.099499
12,0.020000,0.140000,0.145000,0.352101,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.030000,0.170587
13,0.025000,0.156125,0.145000,0.352101,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.030000,0.170587
14,0.025000,0.156125,0.145000,0.352101,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.030000,0.170587
15,0.035000,0.183780,0.145000,0.352101,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,0.121552
16,0.035000,0.183780,0.145000,0.352101,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,0.121552
17,0.040000,0.195959,0.145000,0.352101,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,0.121552
18,0.045000,0.207304,0.145000,0.352101,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.140000
19,0.045000,0.207304,0.145000,0.352101,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.140000
20,0.045000,0.207304,0.145000,0.352101,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.140000
21,0.035000,0.183780,0.145000,0.352101,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.025000,0.156125
22,0.035000,0.183780,0.145000,0.352101,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.025000,0.156125
23,0.035000,0.183780,0.145000,0.352101,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.025000,0.156125
24,0.025000,0.156125,0.145000,0.352101,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.140000
25,0.025000,0.156125,0.145000,0.352101,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.140000
26,0.025000,0.156125,0.145000,0.352101,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.140000
27,0.020000,0.140000,0.145000,0.352101,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,0.121552
28,0.020000,0.140000,0.145000,0.352101,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,0.121552
29,0.020000,0.140000,0.145000,0.352101,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,0.121552
30,0.020000,0.140000,0.145000,0.352101,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.099499
