Budget,Robust-FW_mean,Robust-FW_std,PARWiS_mean,PARWiS_std,SELECT_mean,SELECT_std,RUCB_mean,RUCB_std,MultiSort_mean,MultiSort_std,Knockout_mean,Knockout_std
1,50.905000,27.629621,47.450000,32.455778,100.000000,0.000000,55.005000,21.608678,100.000000,0.000000,50.720000,29.750321
2,53.020000,28.706438,47.450000,32.455778,100.000000,0.000000,55.575000,16.183769,100.000000,0.000000,50.720000,29.750321
3,52.975000,27.873363,47.450000,32.455778,100.000000,0.000000,55.990000,10.695789,100.000000,0.000000,49.535000,29.050280
4,50.410000,27.317795,47.450000,32.455778,100.000000,0.000000,55.805000,8.355655,100.000000,0.000000,49.535000,29.050280
5,46.330000,27.402210,47.450000,32.455778,100.000000,0.000000,55.900000,7.118286,100.000000,0.000000,49.535000,29.050280
6,50.455000,28.757746,47.450000,32.455778,100.000000,0.000000,55.680000,6.777728,100.000000,0.000000,48.965000,28.157482
7,48.125000,29.132445,47.450000,32.455778,100.000000,0.000000,55.650000,5.786839,100.000000,0.000000,48.965000,28.157482
8,47.435000,27.744293,47.450000,32.455778,100.000000,0.000000,55.460000,5.372932,100.000000,0.000000,48.965000,28.157482
9,49.255000,29.565351,47.450000,32.455778,100.000000,0.000000,55.700000,3.830144,100.000000,0.000000,48.170000,28.704897
10,49.545000,30.198642,47.450000,32.455778,100.000000,0.000000,55.700000,3.830144,100.000000,0.000000,48.170000,28.704897
11,48.020000,30.031144,47.450000,32.455778,100.000000,0.000000,55.980000,4.563946,100.000000,0.000000,48.170000,28.704897
12,48.105000,29.975223,47.450000,32.455778,100.000000,0.000000,56.250000,2.487469,100.000000,0.000000,47.060000,28.722402
13,47.485000,30.078893,47.450000,32.455778,100.000000,0.000000,56.000000,0.000000,100.000000,0.000000,47.060000,28.722402
14,47.580000,30.698430,47.450000,32.455778,100.000000,0.000000,56.000000,0.000000,100.000000,0.000000,47.060000,28.722402
15,48.125000,29.911860,47.450000,32.455778,100.000000,0.000000,56.000000,0.000000,100.000000,0.000000,46.345000,28.244397
16,48.225000,30.025062,47.450000,32.455778,100.000000,0.000000,56.000000,0.000000,100.000000,0.000000,46.345000,28.244397
17,47.355000,30.396693,47.450000,32.455778,100.000000,0.000000,56.000000,0.000000,100.000000,0.000000,46.345000,28.244397
18,47.590000,29.514266,47.450000,32.455778,100.000000,0.000000,56.000000,0.000000,100.000000,0.000000,48.580000,28.885353
19,47.515000,29.286341,47.450000,32.455778,100.000000,0.000000,56.000000,0.000000,100.000000,0.000000,48.580000,28.885353
20,47.480000,29.389617,47.450000,32.455778,100.000000,0.000000,56.000000,0.000000,100.000000,0.000000,48.580000,28.885353
21,48.855000,29.485657,47.450000,32.455778,100.000000,0.000000,56.000000,0.000000,100.000000,0.000000,46.170000,28.224477
22,48.055000,29.548976,47.450000,32.455778,100.000000,0.000000,56.000000,0.000000,100.000000,0.000000,46.170000,28.224477
23,47.710000,29.255357,47.450000,32.455778,100.000000,0.000000,56.000000,0.000000,100.000000,0.000000,46.170000,28.224477
