Budget,Robust-FW_mean,Robust-FW_std,PARWiS_mean,PARWiS_std,SELECT_mean,SELECT_std,RUCB_mean,RUCB_std,MultiSort_mean,MultiSort_std,Knockout_mean,Knockout_std
1,36.065000,25.647627,6.690000,6.199508,100.000000,0.000000,41.590000,17.965297,100.000000,0.000000,53.085000,28.403306
2,35.895000,25.091113,6.690000,6.199508,100.000000,0.000000,44.450000,13.266028,100.000000,0.000000,53.085000,28.403306
3,34.825000,24.275592,6.690000,6.199508,100.000000,0.000000,46.290000,9.540749,100.000000,0.000000,38.395000,24.454222
4,34.035000,24.349616,6.690000,6.199508,100.000000,0.000000,47.755000,4.076147,100.000000,0.000000,38.395000,24.454222
5,30.405000,22.413411,6.690000,6.199508,100.000000,0.000000,48.000000,1.374773,100.000000,0.000000,38.395000,24.454222
6,32.095000,24.353151,6.690000,6.199508,100.000000,0.000000,47.720000,3.248323,100.000000,0.000000,33.770000,23.195842
7,30.680000,23.418531,6.690000,6.199508,100.000000,0.000000,47.695000,3.226759,100.000000,0.000000,33.770000,23.195842
8,29.435000,22.970759,6.690000,6.199508,100.000000,0.000000,47.500000,4.132796,100.000000,0.000000,33.770000,23.195842
9,29.110000,23.813607,6.690000,6.199508,100.000000,0.000000,47.500000,4.132796,100.000000,0.000000,35.675000,25.519000
10,28.445000,23.351166,6.690000,6.199508,100.000000,0.000000,47.400000,4.355456,100.000000,0.000000,35.675000,25.519000
11,26.560000,22.176032,6.690000,6.199508,100.000000,0.000000,47.500000,4.132796,100.000000,0.000000,35.675000,25.519000
12,27.470000,22.787038,6.690000,6.199508,100.000000,0.000000,47.880000,1.692808,100.000000,0.000000,34.605000,24.252814
13,27.495000,22.765104,6.690000,6.199508,100.000000,0.000000,48.000000,0.000000,100.000000,0.000000,34.605000,24.252814
14,27.430000,22.718607,6.690000,6.199508,100.000000,0.000000,48.000000,0.000000,100.000000,0.000000,34.605000,24.252814
15,30.030000,25.175168,6.690000,6.199508,100.000000,0.000000,48.000000,0.000000,100.000000,0.000000,35.055000,24.187641
16,30.030000,25.175168,6.690000,6.199508,100.000000,0.000000,48.000000,0.000000,100.000000,0.000000,35.055000,24.187641
17,29.885000,24.969617,6.690000,6.199508,100.000000,0.000000,48.000000,0.000000,100.000000,0.000000,35.055000,24.187641
18,31.225000,25.325173,6.690000,6.199508,100.000000,0.000000,48.000000,0.000000,100.000000,0.000000,36.785000,23.566688
19,31.225000,25.325173,6.690000,6.199508,100.000000,0.000000,48.000000,0.000000,100.000000,0.000000,36.785000,23.566688
20,31.225000,25.325173,6.690000,6.199508,100.000000,0.000000,48.000000,0.000000,100.000000,0.000000,36.785000,23.566688
21,33.395000,25.393483,6.690000,6.199508,100.000000,0.000000,48.000000,0.000000,100.000000,0.000000,36.560000,25.339621
22,33.395000,25.393483,6.690000,6.199508,100.000000,0.000000,48.000000,0.000000,100.000000,0.000000,36.560000,25.339621
23,33.395000,25.393483,6.690000,6.199508,100.000000,0.000000,48.000000,0.000000,100.000000,0.000000,36.560000,25.339621
24,35.815000,25.473335,6.690000,6.199508,100.000000,0.000000,48.000000,0.000000,100.000000,0.000000,37.185000,22.747105
25,35.815000,25.473335,6.690000,6.199508,100.000000,0.000000,48.000000,0.000000,100.000000,0.000000,37.185000,22.747105
26,35.815000,25.473335,6.690000,6.199508,100.000000,0.000000,48.000000,0.000000,100.000000,0.000000,37.185000,22.747105
27,37.130000,26.141597,6.690000,6.199508,100.000000,0.000000,48.000000,0.000000,100.000000,0.000000,37.360000,24.250369
28,37.130000,26.141597,6.690000,6.199508,100.000000,0.000000,48.000000,0.000000,100.000000,0.000000,37.360000,24.250369
29,37.130000,26.141597,6.690000,6.199508,100.000000,0.000000,48.000000,0.000000,100.000000,0.000000,37.360000,24.250369
30,36.940000,26.305254,6.690000,6.199508,100.000000,0.000000,48.000000,0.000000,100.000000,0.000000,33.350000,24.497092
31,36.940000,26.305254,6.690000,6.199508,100.000000,0.000000,48.000000,0.000000,100.000000,0.000000,33.350000,24.497092
32,36.940000,26.305254,6.690000,6.199508,100.000000,0.000000,48.000000,0.000000,100.000000,0.000000,33.350000,24.497092
33,36.490000,25.525476,6.690000,6.199508,100.000000,0.000000,48.000000,0.000000,100.000000,0.000000,36.355000,24.829397
34,36.490000,25.525476,6.690000,6.199508,100.000000,0.000000,48.000000,0.000000,100.000000,0.000000,36.355000,24.829397
35,36.490000,25.525476,6.690000,6.199508,100.000000,0.000000,48.000000,0.000000,100.000000,0.000000,36.355000,24.829397
36,37.370000,24.904480,6.690000,6.199508,100.000000,0.000000,48.000000,0.000000,100.000000,0.000000,34.470000,24.125072
37,37.370000,24.904480,6.690000,6.199508,100.000000,0.000000,48.000000,0.000000,100.000000,0.000000,34.470000,24.125072
38,37.370000,24.904480,6.690000,6.199508,100.000000,0.000000,48.000000,0.000000,100.000000,0.000000,34.470000,24.125072
39,38.725000,25.173783,6.690000,6.199508,100.000000,0.000000,48.000000,0.000000,100.000000,0.000000,34.025000,23.671594
40,38.725000,25.173783,6.690000,6.199508,100.000000,0.000000,48.000000,0.000000,100.000000,0.000000,34.025000,23.671594
41,38.725000,25.173783,6.690000,6.199508,100.000000,0.000000,48.000000,0.000000,100.000000,0.000000,34.025000,23.671594
42,40.200000,25.200992,6.690000,6.199508,100.000000,0.000000,48.000000,0.000000,100.000000,0.000000,36.645000,25.777296
43,40.200000,25.200992,6.690000,6.199508,100.000000,0.000000,48.000000,0.000000,100.000000,0.000000,36.645000,25.777296
44,40.200000,25.200992,6.690000,6.199508,100.000000,0.000000,48.000000,0.000000,100.000000,0.000000,36.645000,25.777296
45,41.720000,24.579089,6.690000,6.199508,100.000000,0.000000,48.000000,0.000000,100.000000,0.000000,34.865000,24.654143
46,41.720000,24.579089,6.690000,6.199508,100.000000,0.000000,48.000000,0.000000,100.000000,0.000000,34.865000,24.654143
47,41.720000,24.579089,6.690000,6.199508,100.000000,0.000000,48.000000,0.000000,100.000000,0.000000,34.865000,24.654143
48,42.455000,24.033892,6.690000,6.199508,100.000000,0.000000,48.000000,0.000000,100.000000,0.000000,35.665000,25.136085
49,42.455000,24.033892,6.690000,6.199508,100.000000,0.000000,48.000000,0.000000,100.000000,0.000000,35.665000,25.136085
50,42.455000,24.033892,6.690000,6.199508,100.000000,0.000000,48.000000,0.000000,100.000000,0.000000,35.665000,25.136085
51,43.255000,24.180984,6.690000,6.199508,100.000000,0.000000,48.000000,0.000000,100.000000,0.000000,33.380000,25.323420
52,43.255000,24.180984,6.690000,6.199508,100.000000,0.000000,48.000000,0.000000,100.000000,0.000000,33.380000,25.323420
53,43.255000,24.180984,6.690000,6.199508,100.000000,0.000000,48.000000,0.000000,100.000000,0.000000,33.380000,25.323420
54,44.475000,23.861043,6.690000,6.199508,100.000000,0.000000,48.000000,0.000000,100.000000,0.000000,35.025000,25.527522
55,44.475000,23.861043,6.690000,6.199508,100.000000,0.000000,48.000000,0.000000,100.000000,0.000000,35.025000,25.527522
56,44.475000,23.861043,6.690000,6.199508,100.000000,0.000000,48.000000,0.000000,100.000000,0.000000,35.025000,25.527522
57,44.910000,23.505572,6.690000,6.199508,100.000000,0.000000,48.000000,0.000000,100.000000,0.000000,36.520000,25.949559
58,44.910000,23.505572,6.690000,6.199508,100.000000,0.000000,48.000000,0.000000,100.000000,0.000000,36.520000,25.949559
59,44.910000,23.505572,6.690000,6.199508,100.000000,0.000000,48.000000,0.000000,100.000000,0.000000,36.520000,25.949559
60,45.450000,23.274825,6.690000,6.199508,100.000000,0.000000,48.000000,0.000000,100.000000,0.000000,36.590000,23.214691
61,45.450000,23.274825,6.690000,6.199508,100.000000,0.000000,48.000000,0.000000,100.000000,0.000000,36.590000,23.214691
62,45.450000,23.274825,6.690000,6.199508,100.000000,0.000000,48.000000,0.000000,100.000000,0.000000,36.590000,23.214691
63,46.145000,22.995738,6.690000,6.199508,100.000000,0.000000,48.000000,0.000000,100.000000,0.000000,35.680000,25.103139
64,46.145000,22.995738,6.690000,6.199508,100.000000,0.000000,48.000000,0.000000,100.000000,0.000000,35.680000,25.103139
65,46.145000,22.995738,6.690000,6.199508,100.000000,0.000000,48.000000,0.000000,100.000000,0.000000,35.680000,25.103139
66,47.050000,23.075257,6.690000,6.199508,100.000000,0.000000,48.000000,0.000000,100.000000,0.000000,36.580000,23.949188
67,47.050000,23.075257,6.690000,6.199508,100.000000,0.000000,48.000000,0.000000,100.000000,0.000000,36.580000,23.949188
68,47.050000,23.075257,6.690000,6.199508,100.000000,0.000000,48.000000,0.000000,100.000000,0.000000,36.580000,23.949188
69,47.255000,22.524431,6.690000,6.199508,100.000000,0.000000,48.000000,0.000000,100.000000,0.000000,35.770000,24.474826
