Budget,Robust-FW_mean,Robust-FW_std,PARWiS_mean,PARWiS_std,SELECT_mean,SELECT_std,RUCB_mean,RUCB_std,MultiSort_mean,MultiSort_std,Knockout_mean,Knockout_std
1,44.065000,28.801055,23.550000,20.863305,100.000000,0.000000,16.725000,23.951187,100.000000,0.000000,48.630000,29.100741
2,46.720000,30.602477,23.550000,20.863305,100.000000,0.000000,9.645000,16.111144,100.000000,0.000000,48.630000,29.100741
3,42.705000,29.326575,23.550000,20.863305,100.000000,0.000000,6.855000,13.399402,100.000000,0.000000,42.975000,27.914770
4,46.885000,28.885494,23.550000,20.863305,100.000000,0.000000,5.465000,9.964877,100.000000,0.000000,42.975000,27.914770
5,44.570000,28.672201,23.550000,20.863305,100.000000,0.000000,5.025000,8.065009,100.000000,0.000000,42.975000,27.914770
6,40.350000,28.005669,23.550000,20.863305,100.000000,0.000000,4.275000,3.879352,100.000000,0.000000,42.100000,26.738736
7,42.020000,28.546622,23.550000,20.863305,100.000000,0.000000,4.000000,0.000000,100.000000,0.000000,42.100000,26.738736
8,38.380000,27.355906,23.550000,20.863305,100.000000,0.000000,4.000000,0.000000,100.000000,0.000000,42.100000,26.738736
9,40.575000,28.134221,23.550000,20.863305,100.000000,0.000000,4.000000,0.000000,100.000000,0.000000,44.905000,26.518785
10,39.005000,28.050579,23.550000,20.863305,100.000000,0.000000,4.000000,0.000000,100.000000,0.000000,44.905000,26.518785
11,38.075000,28.074532,23.550000,20.863305,100.000000,0.000000,4.000000,0.000000,100.000000,0.000000,44.905000,26.518785
12,37.980000,28.491395,23.550000,20.863305,100.000000,0.000000,4.000000,0.000000,100.000000,0.000000,46.755000,28.384238
13,37.755000,28.093504,23.550000,20.863305,100.000000,0.000000,4.000000,0.000000,100.000000,0.000000,46.755000,28.384238
14,37.510000,28.500875,23.550000,20.863305,100.000000,0.000000,4.000000,0.000000,100.000000,0.000000,46.755000,28.384238
15,35.245000,27.225998,23.550000,20.863305,100.000000,0.000000,4.000000,0.000000,100.000000,0.000000,43.305000,26.252847
16,35.570000,27.344928,23.550000,20.863305,100.000000,0.000000,4.000000,0.000000,100.000000,0.000000,43.305000,26.252847
17,34.850000,27.476854,23.550000,20.863305,100.000000,0.000000,4.000000,0.000000,100.000000,0.000000,43.305000,26.252847
18,33.590000,27.496762,23.550000,20.863305,100.000000,0.000000,4.000000,0.000000,100.000000,0.000000,42.710000,27.852574
19,33.590000,27.496762,23.550000,20.863305,100.000000,0.000000,4.000000,0.000000,100.000000,0.000000,42.710000,27.852574
20,33.610000,27.924862,23.550000,20.863305,100.000000,0.000000,4.000000,0.000000,100.000000,0.000000,42.710000,27.852574
21,33.810000,27.846614,23.550000,20.863305,100.000000,0.000000,4.000000,0.000000,100.000000,0.000000,41.545000,28.473812
22,33.810000,27.846614,23.550000,20.863305,100.000000,0.000000,4.000000,0.000000,100.000000,0.000000,41.545000,28.473812
23,34.465000,28.034243,23.550000,20.863305,100.000000,0.000000,4.000000,0.000000,100.000000,0.000000,41.545000,28.473812
24,34.580000,28.875484,23.550000,20.863305,100.000000,0.000000,4.000000,0.000000,100.000000,0.000000,43.850000,27.756936
25,34.580000,28.875484,23.550000,20.863305,100.000000,0.000000,4.000000,0.000000,100.000000,0.000000,43.850000,27.756936
26,34.710000,28.649885,23.550000,20.863305,100.000000,0.000000,4.000000,0.000000,100.000000,0.000000,43.850000,27.756936
27,32.585000,27.865441,23.550000,20.863305,100.000000,0.000000,4.000000,0.000000,100.000000,0.000000,45.125000,27.338057
28,32.585000,27.865441,23.550000,20.863305,100.000000,0.000000,4.000000,0.000000,100.000000,0.000000,45.125000,27.338057
29,32.920000,27.859892,23.550000,20.863305,100.000000,0.000000,4.000000,0.000000,100.000000,0.000000,45.125000,27.338057
30,35.105000,28.783745,23.550000,20.863305,100.000000,0.000000,4.000000,0.000000,100.000000,0.000000,41.715000,26.291896
31,35.105000,28.783745,23.550000,20.863305,100.000000,0.000000,4.000000,0.000000,100.000000,0.000000,41.715000,26.291896
32,35.635000,28.881686,23.550000,20.863305,100.000000,0.000000,4.000000,0.000000,100.000000,0.000000,41.715000,26.291896
33,33.515000,27.694400,23.550000,20.863305,100.000000,0.000000,4.000000,0.000000,100.000000,0.000000,41.655000,26.743709
34,33.515000,27.694400,23.550000,20.863305,100.000000,0.000000,4.000000,0.000000,100.000000,0.000000,41.655000,26.743709
35,33.590000,27.767281,23.550000,20.863305,100.000000,0.000000,4.000000,0.000000,100.000000,0.000000,41.655000,26.743709
