Budget,Robust-FW_mean,Robust-FW_std,PARWiS_mean,PARWiS_std,SELECT_mean,SELECT_std,RUCB_mean,RUCB_std,MultiSort_mean,MultiSort_std,Knockout_mean,Knockout_std
1,44.255000,28.030875,20.730000,20.054852,100.000000,0.000000,64.430000,28.949527,100.000000,0.000000,47.115000,30.062797
2,42.915000,28.377945,20.730000,20.054852,100.000000,0.000000,72.400000,25.851306,100.000000,0.000000,47.115000,30.062797
3,41.965000,27.453302,20.730000,20.054852,100.000000,0.000000,77.750000,22.329969,100.000000,0.000000,40.660000,28.555112
4,41.030000,28.371449,20.730000,20.054852,100.000000,0.000000,82.885000,15.071887,100.000000,0.000000,40.660000,28.555112
5,43.820000,28.745914,20.730000,20.054852,100.000000,0.000000,83.480000,16.217262,100.000000,0.000000,40.660000,28.555112
6,39.230000,26.527667,20.730000,20.054852,100.000000,0.000000,84.880000,13.153539,100.000000,0.000000,41.465000,27.351212
7,42.305000,26.703220,20.730000,20.054852,100.000000,0.000000,86.335000,8.993485,100.000000,0.000000,41.465000,27.351212
8,39.565000,27.021765,20.730000,20.054852,100.000000,0.000000,86.815000,7.292515,100.000000,0.000000,41.465000,27.351212
9,41.295000,27.233031,20.730000,20.054852,100.000000,0.000000,86.550000,8.240601,100.000000,0.000000,43.635000,28.863502
10,41.950000,27.935417,20.730000,20.054852,100.000000,0.000000,87.075000,6.043954,100.000000,0.000000,43.635000,28.863502
11,39.470000,26.619337,20.730000,20.054852,100.000000,0.000000,87.220000,4.885857,100.000000,0.000000,43.635000,28.863502
12,40.230000,27.595056,20.730000,20.054852,100.000000,0.000000,87.700000,2.984962,100.000000,0.000000,42.690000,27.318197
13,39.920000,27.495156,20.730000,20.054852,100.000000,0.000000,87.850000,2.116010,100.000000,0.000000,42.690000,27.318197
14,39.835000,27.933632,20.730000,20.054852,100.000000,0.000000,87.850000,2.116010,100.000000,0.000000,42.690000,27.318197
15,41.270000,27.777817,20.730000,20.054852,100.000000,0.000000,87.850000,2.116010,100.000000,0.000000,42.025000,26.797656
16,41.140000,27.787055,20.730000,20.054852,100.000000,0.000000,88.000000,0.000000,100.000000,0.000000,42.025000,26.797656
17,39.015000,27.004532,20.730000,20.054852,100.000000,0.000000,87.850000,2.116010,100.000000,0.000000,42.025000,26.797656
18,39.755000,27.576529,20.730000,20.054852,100.000000,0.000000,88.000000,0.000000,100.000000,0.000000,41.615000,27.959735
19,39.590000,27.587350,20.730000,20.054852,100.000000,0.000000,88.000000,0.000000,100.000000,0.000000,41.615000,27.959735
20,39.000000,27.315563,20.730000,20.054852,100.000000,0.000000,87.850000,2.116010,100.000000,0.000000,41.615000,27.959735
21,39.390000,27.658595,20.730000,20.054852,100.000000,0.000000,87.850000,2.116010,100.000000,0.000000,39.365000,28.192938
22,39.270000,27.629642,20.730000,20.054852,100.000000,0.000000,87.700000,2.984962,100.000000,0.000000,39.365000,28.192938
23,38.160000,27.480255,20.730000,20.054852,100.000000,0.000000,87.700000,2.984962,100.000000,0.000000,39.365000,28.192938
24,37.880000,27.320791,20.730000,20.054852,100.000000,0.000000,87.700000,2.984962,100.000000,0.000000,40.640000,27.241336
25,37.880000,27.320791,20.730000,20.054852,100.000000,0.000000,87.700000,2.984962,100.000000,0.000000,40.640000,27.241336
26,37.885000,27.058673,20.730000,20.054852,100.000000,0.000000,87.850000,2.116010,100.000000,0.000000,40.640000,27.241336
27,38.550000,27.371290,20.730000,20.054852,100.000000,0.000000,88.000000,0.000000,100.000000,0.000000,43.120000,28.812594
28,38.550000,27.371290,20.730000,20.054852,100.000000,0.000000,88.000000,0.000000,100.000000,0.000000,43.120000,28.812594
29,38.210000,27.168841,20.730000,20.054852,100.000000,0.000000,88.000000,0.000000,100.000000,0.000000,43.120000,28.812594
30,38.900000,27.508362,20.730000,20.054852,100.000000,0.000000,88.000000,0.000000,100.000000,0.000000,42.705000,28.046711
31,38.900000,27.508362,20.730000,20.054852,100.000000,0.000000,88.000000,0.000000,100.000000,0.000000,42.705000,28.046711
32,38.880000,27.497374,20.730000,20.054852,100.000000,0.000000,88.000000,0.000000,100.000000,0.000000,42.705000,28.046711
33,40.160000,27.063156,20.730000,20.054852,100.000000,0.000000,88.000000,0.000000,100.000000,0.000000,46.045000,27.590451
34,40.160000,27.063156,20.730000,20.054852,100.000000,0.000000,88.000000,0.000000,100.000000,0.000000,46.045000,27.590451
35,40.100000,26.816786,20.730000,20.054852,100.000000,0.000000,88.000000,0.000000,100.000000,0.000000,46.045000,27.590451
36,40.015000,26.303132,20.730000,20.054852,100.000000,0.000000,88.000000,0.000000,100.000000,0.000000,47.970000,27.891022
37,40.015000,26.303132,20.730000,20.054852,100.000000,0.000000,88.000000,0.000000,100.000000,0.000000,47.970000,27.891022
38,39.775000,26.356866,20.730000,20.054852,100.000000,0.000000,88.000000,0.000000,100.000000,0.000000,47.970000,27.891022
39,40.660000,26.248893,20.730000,20.054852,100.000000,0.000000,88.000000,0.000000,100.000000,0.000000,43.705000,28.339865
40,40.660000,26.248893,20.730000,20.054852,100.000000,0.000000,88.000000,0.000000,100.000000,0.000000,43.705000,28.339865
41,40.440000,26.287001,20.730000,20.054852,100.000000,0.000000,88.000000,0.000000,100.000000,0.000000,43.705000,28.339865
42,40.520000,25.936453,20.730000,20.054852,100.000000,0.000000,88.000000,0.000000,100.000000,0.000000,41.400000,27.226274
43,40.520000,25.936453,20.730000,20.054852,100.000000,0.000000,88.000000,0.000000,100.000000,0.000000,41.400000,27.226274
44,40.520000,25.936453,20.730000,20.054852,100.000000,0.000000,88.000000,0.000000,100.000000,0.000000,41.400000,27.226274
45,40.940000,26.419621,20.730000,20.054852,100.000000,0.000000,88.000000,0.000000,100.000000,0.000000,39.965000,27.413022
46,40.940000,26.419621,20.730000,20.054852,100.000000,0.000000,88.000000,0.000000,100.000000,0.000000,39.965000,27.413022
47,40.940000,26.419621,20.730000,20.054852,100.000000,0.000000,88.000000,0.000000,100.000000,0.000000,39.965000,27.413022
48,41.970000,26.320317,20.730000,20.054852,100.000000,0.000000,88.000000,0.000000,100.000000,0.000000,40.045000,27.710701
49,41.970000,26.320317,20.730000,20.054852,100.000000,0.000000,88.000000,0.000000,100.000000,0.000000,40.045000,27.710701
50,41.970000,26.320317,20.730000,20.054852,100.000000,0.000000,88.000000,0.000000,100.000000,0.000000,40.045000,27.710701
51,42.075000,27.275802,20.730000,20.054852,100.000000,0.000000,88.000000,0.000000,100.000000,0.000000,40.310000,28.630995
52,42.075000,27.275802,20.730000,20.054852,100.000000,0.000000,88.000000,0.000000,100.000000,0.000000,40.310000,28.630995
53,42.075000,27.275802,20.730000,20.054852,100.000000,0.000000,88.000000,0.000000,100.000000,0.000000,40.310000,28.630995
54,42.210000,26.708910,20.730000,20.054852,100.000000,0.000000,88.000000,0.000000,100.000000,0.000000,39.380000,26.129784
55,42.210000,26.708910,20.730000,20.054852,100.000000,0.000000,88.000000,0.000000,100.000000,0.000000,39.380000,26.129784
56,42.210000,26.708910,20.730000,20.054852,100.000000,0.000000,88.000000,0.000000,100.000000,0.000000,39.380000,26.129784
57,40.675000,26.190826,20.730000,20.054852,100.000000,0.000000,88.000000,0.000000,100.000000,0.000000,39.710000,26.285660
58,40.675000,26.190826,20.730000,20.054852,100.000000,0.000000,88.000000,0.000000,100.000000,0.000000,39.710000,26.285660
59,40.675000,26.190826,20.730000,20.054852,100.000000,0.000000,88.000000,0.000000,100.000000,0.000000,39.710000,26.285660
60,40.070000,26.461767,20.730000,20.054852,100.000000,0.000000,88.000000,0.000000,100.000000,0.000000,42.160000,28.012397
61,40.070000,26.461767,20.730000,20.054852,100.000000,0.000000,88.000000,0.000000,100.000000,0.000000,42.160000,28.012397
62,40.070000,26.461767,20.730000,20.054852,100.000000,0.000000,88.000000,0.000000,100.000000,0.000000,42.160000,28.012397
63,39.645000,25.991710,20.730000,20.054852,100.000000,0.000000,88.000000,0.000000,100.000000,0.000000,43.970000,26.604306
64,39.645000,25.991710,20.730000,20.054852,100.000000,0.000000,88.000000,0.000000,100.000000,0.000000,43.970000,26.604306
65,39.645000,25.991710,20.730000,20.054852,100.000000,0.000000,88.000000,0.000000,100.000000,0.000000,43.970000,26.604306
66,39.685000,25.930210,20.730000,20.054852,100.000000,0.000000,88.000000,0.000000,100.000000,0.000000,39.380000,26.361252
67,39.685000,25.930210,20.730000,20.054852,100.000000,0.000000,88.000000,0.000000,100.000000,0.000000,39.380000,26.361252
68,39.685000,25.930210,20.730000,20.054852,100.000000,0.000000,88.000000,0.000000,100.000000,0.000000,39.380000,26.361252
69,39.550000,25.732810,20.730000,20.054852,100.000000,0.000000,88.000000,0.000000,100.000000,0.000000,44.315000,27.077403
70,39.550000,25.732810,20.730000,20.054852,100.000000,0.000000,88.000000,0.000000,100.000000,0.000000,44.315000,27.077403
71,39.550000,25.732810,20.730000,20.054852,100.000000,0.000000,88.000000,0.000000,100.000000,0.000000,44.315000,27.077403
72,39.840000,26.215347,20.730000,20.054852,100.000000,0.000000,88.000000,0.000000,100.000000,0.000000,41.960000,27.233590
73,39.840000,26.215347,20.730000,20.054852,100.000000,0.000000,88.000000,0.000000,100.000000,0.000000,41.960000,27.233590
74,39.840000,26.215347,20.730000,20.054852,100.000000,0.000000,88.000000,0.000000,100.000000,0.000000,41.960000,27.233590
75,40.315000,25.935994,20.730000,20.054852,100.000000,0.000000,88.000000,0.000000,100.000000,0.000000,45.360000,28.130951
76,40.315000,25.935994,20.730000,20.054852,100.000000,0.000000,88.000000,0.000000,100.000000,0.000000,45.360000,28.130951
77,40.315000,25.935994,20.730000,20.054852,100.000000,0.000000,88.000000,0.000000,100.000000,0.000000,45.360000,28.130951
78,40.070000,25.762086,20.730000,20.054852,100.000000,0.000000,88.000000,0.000000,100.000000,0.000000,43.215000,27.757139
79,40.070000,25.762086,20.730000,20.054852,100.000000,0.000000,88.000000,0.000000,100.000000,0.000000,43.215000,27.757139
80,40.070000,25.762086,20.730000,20.054852,100.000000,0.000000,88.000000,0.000000,100.000000,0.000000,43.215000,27.757139
81,40.715000,25.936919,20.730000,20.054852,100.000000,0.000000,88.000000,0.000000,100.000000,0.000000,42.745000,27.552132
82,40.715000,25.936919,20.730000,20.054852,100.000000,0.000000,88.000000,0.000000,100.000000,0.000000,42.745000,27.552132
83,40.715000,25.936919,20.730000,20.054852,100.000000,0.000000,88.000000,0.000000,100.000000,0.000000,42.745000,27.552132
84,40.270000,25.711614,20.730000,20.054852,100.000000,0.000000,88.000000,0.000000,100.000000,0.000000,39.065000,28.306727
85,40.270000,25.711614,20.730000,20.054852,100.000000,0.000000,88.000000,0.000000,100.000000,0.000000,39.065000,28.306727
