Budget,Robust-FW_mean,Robust-FW_std,PARWiS_mean,PARWiS_std,SELECT_mean,SELECT_std,RUCB_mean,RUCB_std,MultiSort_mean,MultiSort_std,Knockout_mean,Knockout_std
1,42.147500,28.262112,12.265000,13.883525,100.000000,0.000000,19.220000,18.212883,100.000000,0.000000,48.862500,28.832271
2,41.515000,27.351276,12.265000,13.883525,100.000000,0.000000,14.605000,10.551729,100.000000,0.000000,48.862500,28.832271
3,39.230000,27.069902,12.265000,13.883525,100.000000,0.000000,13.085000,7.031911,100.000000,0.000000,38.202500,27.260278
4,37.075000,25.102428,12.265000,13.883525,100.000000,0.000000,12.005000,0.724552,100.000000,0.000000,38.202500,27.260278
5,35.795000,25.460714,12.265000,13.883525,100.000000,0.000000,11.985000,0.666915,100.000000,0.000000,38.202500,27.260278
6,32.280000,24.729418,12.265000,13.883525,100.000000,0.000000,11.960000,0.564269,100.000000,0.000000,39.137500,27.633265
7,32.077500,23.927500,12.265000,13.883525,100.000000,0.000000,12.000000,0.000000,100.000000,0.000000,39.137500,27.633265
8,32.120000,24.540336,12.265000,13.883525,100.000000,0.000000,12.000000,0.000000,100.000000,0.000000,39.137500,27.633265
9,30.905000,23.902008,12.265000,13.883525,100.000000,0.000000,12.000000,0.000000,100.000000,0.000000,39.390000,27.891673
10,32.260000,24.524119,12.265000,13.883525,100.000000,0.000000,12.000000,0.000000,100.000000,0.000000,39.390000,27.891673
11,30.535000,23.261745,12.265000,13.883525,100.000000,0.000000,12.000000,0.000000,100.000000,0.000000,39.390000,27.891673
12,26.057500,21.263477,12.265000,13.883525,100.000000,0.000000,12.000000,0.000000,100.000000,0.000000,38.185000,27.201301
13,26.377500,21.371622,12.265000,13.883525,100.000000,0.000000,12.000000,0.000000,100.000000,0.000000,38.185000,27.201301
14,26.560000,22.297509,12.265000,13.883525,100.000000,0.000000,12.000000,0.000000,100.000000,0.000000,38.185000,27.201301
15,23.332500,18.472972,12.265000,13.883525,100.000000,0.000000,12.000000,0.000000,100.000000,0.000000,36.365000,26.767644
16,23.917500,18.991431,12.265000,13.883525,100.000000,0.000000,12.000000,0.000000,100.000000,0.000000,36.365000,26.767644
17,23.450000,18.986113,12.265000,13.883525,100.000000,0.000000,12.000000,0.000000,100.000000,0.000000,36.365000,26.767644
18,21.537500,17.673351,12.265000,13.883525,100.000000,0.000000,12.000000,0.000000,100.000000,0.000000,38.905000,27.200707
19,22.037500,18.250201,12.265000,13.883525,100.000000,0.000000,12.000000,0.000000,100.000000,0.000000,38.905000,27.200707
20,21.402500,17.536227,12.265000,13.883525,100.000000,0.000000,12.000000,0.000000,100.000000,0.000000,38.905000,27.200707
21,20.260000,16.668155,12.265000,13.883525,100.000000,0.000000,12.000000,0.000000,100.000000,0.000000,41.265000,27.638420
22,20.710000,17.103827,12.265000,13.883525,100.000000,0.000000,12.000000,0.000000,100.000000,0.000000,41.265000,27.638420
23,20.907500,17.737536,12.265000,13.883525,100.000000,0.000000,12.000000,0.000000,100.000000,0.000000,41.265000,27.638420
24,20.552500,17.343399,12.265000,13.883525,100.000000,0.000000,12.000000,0.000000,100.000000,0.000000,37.887500,27.676273
25,20.567500,17.328638,12.265000,13.883525,100.000000,0.000000,12.000000,0.000000,100.000000,0.000000,37.887500,27.676273
26,20.412500,17.328549,12.265000,13.883525,100.000000,0.000000,12.000000,0.000000,100.000000,0.000000,37.887500,27.676273
