Budget,Robust-FW_mean,Robust-FW_std,PARWiS_mean,PARWiS_std,SELECT_mean,SELECT_std,RUCB_mean,RUCB_std,MultiSort_mean,MultiSort_std,Knockout_mean,Knockout_std
1,10.044000,3.088538,5.958000,5.588670,20.000000,0.000000,10.360000,2.447529,20.000000,0.000000,19.012000,4.218513
2,9.930000,3.069544,5.958000,5.588670,20.000000,0.000000,10.332000,3.052831,20.000000,0.000000,19.012000,4.218513
3,9.664000,3.008007,5.958000,5.588670,20.000000,0.000000,10.165000,3.576070,20.000000,0.000000,18.290000,5.437453
4,8.987000,4.020365,5.958000,5.588670,20.000000,0.000000,10.121000,3.882507,20.000000,0.000000,18.290000,5.437453
5,9.069000,4.085675,5.958000,5.588670,20.000000,0.000000,10.109000,4.104585,20.000000,0.000000,18.290000,5.437453
6,8.812000,3.964172,5.958000,5.588670,20.000000,0.000000,9.959000,4.369647,20.000000,0.000000,18.290000,5.437453
7,8.430000,4.418382,5.958000,5.588670,20.000000,0.000000,9.840000,4.571914,20.000000,0.000000,18.290000,5.437453
8,8.346000,4.400146,5.958000,5.588670,20.000000,0.000000,9.707000,4.723203,20.000000,0.000000,18.290000,5.437453
9,8.181000,4.318650,5.958000,5.588670,20.000000,0.000000,9.679000,4.806918,20.000000,0.000000,17.986000,5.848915
10,7.830000,4.434986,5.958000,5.588670,20.000000,0.000000,9.554000,4.923524,20.000000,0.000000,17.986000,5.848915
11,7.852000,4.488217,5.958000,5.588670,20.000000,0.000000,9.396000,4.980480,20.000000,0.000000,17.986000,5.848915
12,7.756000,4.405958,5.958000,5.588670,20.000000,0.000000,9.418000,5.054135,20.000000,0.000000,18.670000,4.847793
13,7.386000,4.624933,5.958000,5.588670,20.000000,0.000000,9.395000,5.104456,20.000000,0.000000,18.670000,4.847793
14,7.386000,4.634868,5.958000,5.588670,20.000000,0.000000,9.292000,5.174044,20.000000,0.000000,18.670000,4.847793
15,7.243000,4.586769,5.958000,5.588670,20.000000,0.000000,9.215000,5.235387,20.000000,0.000000,18.404000,5.270368
16,6.983000,4.761114,5.958000,5.588670,20.000000,0.000000,9.095000,5.219049,20.000000,0.000000,18.404000,5.270368
17,6.941000,4.713069,5.958000,5.588670,20.000000,0.000000,8.962000,5.231019,20.000000,0.000000,18.404000,5.270368
18,6.897000,4.665071,5.958000,5.588670,20.000000,0.000000,8.919000,5.239174,20.000000,0.000000,17.986000,5.848915
19,6.532000,4.736241,5.958000,5.588670,15.060000,8.334051,8.881000,5.204550,20.000000,0.000000,17.986000,5.848915
20,6.484000,4.744970,6.008000,5.648445,15.060000,8.334051,8.866000,5.239756,20.000000,0.000000,17.986000,5.848915
