Budget,Robust-FW_mean,Robust-FW_std,PARWiS_mean,PARWiS_std,SELECT_mean,SELECT_std,RUCB_mean,RUCB_std,MultiSort_mean,MultiSort_std,Knockout_mean,Knockout_std
1,50.252500,3.491417,43.192500,29.715050,100.000000,0.000000,50.750000,3.526684,100.000000,0.000000,98.515000,12.033693
2,50.747500,3.491417,43.192500,29.715050,100.000000,0.000000,50.605000,6.063949,100.000000,0.000000,98.515000,12.033693
3,50.252500,3.491417,43.192500,29.715050,100.000000,0.000000,50.695000,6.964695,100.000000,0.000000,98.515000,12.033693
4,51.237500,10.356995,43.192500,29.715050,100.000000,0.000000,50.507500,8.453916,100.000000,0.000000,98.515000,12.033693
5,49.767500,10.380977,43.192500,29.715050,100.000000,0.000000,50.040000,10.223424,100.000000,0.000000,98.515000,12.033693
6,49.765000,10.392414,43.192500,29.715050,100.000000,0.000000,50.295000,10.222058,100.000000,0.000000,100.000000,0.000000
7,49.765000,11.383970,43.192500,29.715050,100.000000,0.000000,50.320000,10.714481,100.000000,0.000000,100.000000,0.000000
8,49.290000,11.385996,43.192500,29.715050,100.000000,0.000000,50.595000,10.701331,100.000000,0.000000,100.000000,0.000000
9,49.285000,11.320944,43.192500,29.715050,100.000000,0.000000,50.365000,11.642778,100.000000,0.000000,99.010000,9.850376
10,49.042500,13.579836,43.192500,29.715050,100.000000,0.000000,50.627500,11.659974,100.000000,0.000000,99.010000,9.850376
11,48.582500,13.541028,43.192500,29.715050,100.000000,0.000000,50.897500,11.676718,100.000000,0.000000,99.010000,9.850376
12,48.562500,13.448879,43.192500,29.715050,100.000000,0.000000,51.155000,11.670410,100.000000,0.000000,99.505000,6.982834
13,48.562500,15.767842,43.192500,29.715050,100.000000,0.000000,51.195000,12.129385,100.000000,0.000000,99.505000,6.982834
14,47.647500,15.431688,43.192500,29.715050,100.000000,0.000000,51.427500,12.112019,100.000000,0.000000,99.505000,6.982834
15,48.565000,15.805957,43.192500,29.715050,100.000000,0.000000,51.427500,12.536287,100.000000,0.000000,98.020000,13.860000
16,48.555000,16.389691,43.192500,29.715050,100.000000,0.000000,51.435000,12.915234,100.000000,0.000000,98.020000,13.860000
17,48.550000,16.318165,43.192500,29.715050,100.000000,0.000000,51.230000,13.676425,100.000000,0.000000,98.020000,13.860000
18,48.105000,16.330155,43.192500,29.715050,100.000000,0.000000,50.997500,14.425455,100.000000,0.000000,98.020000,13.860000
19,47.402500,18.311451,43.192500,29.715050,100.000000,0.000000,50.785000,15.088366,100.000000,0.000000,98.020000,13.860000
20,47.837500,18.258145,43.192500,29.715050,100.000000,0.000000,50.522500,15.734460,100.000000,0.000000,98.020000,13.860000
21,47.432500,18.304349,43.192500,29.715050,100.000000,0.000000,50.802500,15.727436,100.000000,0.000000,98.515000,12.033693
22,46.527500,19.642823,43.192500,29.715050,100.000000,0.000000,50.772500,15.988574,100.000000,0.000000,98.515000,12.033693
23,46.922500,19.745195,43.192500,29.715050,100.000000,0.000000,50.797500,16.299087,100.000000,0.000000,98.515000,12.033693
