Budget,Robust-FW_mean,Robust-FW_std,PARWiS_mean,PARWiS_std,SELECT_mean,SELECT_std,RUCB_mean,RUCB_std,MultiSort_mean,MultiSort_std,Knockout_mean,Knockout_std
1,50.252500,6.057433,20.405000,29.928139,100.000000,0.000000,50.750000,3.526684,100.000000,0.000000,100.000000,0.000000
2,50.252500,6.057433,20.405000,29.928139,100.000000,0.000000,50.597500,6.063146,100.000000,0.000000,100.000000,0.000000
3,50.252500,6.057433,20.405000,29.928139,100.000000,0.000000,50.637500,6.957179,100.000000,0.000000,98.515000,12.033693
4,49.277500,10.263369,20.405000,29.928139,100.000000,0.000000,49.915000,9.726910,100.000000,0.000000,98.515000,12.033693
5,49.762500,10.309575,20.405000,29.928139,100.000000,0.000000,49.925000,10.319975,100.000000,0.000000,98.515000,12.033693
6,48.790000,10.205190,20.405000,29.928139,100.000000,0.000000,49.405000,11.759612,100.000000,0.000000,99.010000,9.850376
7,48.320000,11.110360,20.405000,29.928139,100.000000,0.000000,48.427500,13.815788,100.000000,0.000000,99.010000,9.850376
8,48.315000,11.130960,20.405000,29.928139,100.000000,0.000000,47.662500,15.174645,100.000000,0.000000,99.010000,9.850376
9,48.317500,11.141833,20.405000,29.928139,100.000000,0.000000,47.657500,15.501740,100.000000,0.000000,99.010000,9.850376
10,47.372500,12.760584,20.405000,29.928139,100.000000,0.000000,47.665000,15.828701,100.000000,0.000000,99.010000,9.850376
11,47.362500,12.796087,20.405000,29.928139,100.000000,0.000000,46.680000,17.166540,100.000000,0.000000,99.010000,9.850376
12,47.365000,12.805635,20.405000,29.928139,100.000000,0.000000,46.662500,17.424045,100.000000,0.000000,98.515000,12.033693
13,45.965000,14.753772,20.405000,29.928139,100.000000,0.000000,45.650000,18.615786,100.000000,0.000000,98.515000,12.033693
14,45.955000,14.783199,20.405000,29.928139,100.000000,0.000000,45.857500,18.619773,100.000000,0.000000,98.515000,12.033693
15,45.947500,14.819868,20.405000,29.928139,100.000000,0.000000,45.810000,18.926143,100.000000,0.000000,99.010000,9.850376
16,45.260000,15.604964,20.405000,29.928139,100.000000,0.000000,45.315000,19.508736,100.000000,0.000000,99.010000,9.850376
17,45.260000,15.605925,20.405000,29.928139,100.000000,0.000000,45.332500,19.660320,100.000000,0.000000,99.010000,9.850376
18,45.265000,15.591898,20.405000,29.928139,100.000000,0.000000,44.860000,20.179145,100.000000,0.000000,100.000000,0.000000
19,45.047500,15.790788,20.405000,29.928139,100.000000,0.000000,44.825000,20.380122,100.000000,0.000000,100.000000,0.000000
20,45.047500,15.790788,20.405000,29.928139,100.000000,0.000000,44.815000,20.550141,100.000000,0.000000,100.000000,0.000000
21,45.062500,15.764354,20.405000,29.928139,100.000000,0.000000,44.805000,20.686275,100.000000,0.000000,97.030000,16.888135
22,44.182500,16.614615,20.405000,29.928139,100.000000,0.000000,45.015000,20.692928,100.000000,0.000000,97.030000,16.888135
23,44.157500,16.699968,20.405000,29.928139,100.000000,0.000000,44.715000,21.065761,100.000000,0.000000,97.030000,16.888135
24,44.150000,16.688469,20.405000,29.928139,100.000000,0.000000,44.465000,21.313817,100.000000,0.000000,99.010000,9.850376
25,43.057500,17.617263,20.405000,29.928139,100.000000,0.000000,44.465000,21.487875,100.000000,0.000000,99.010000,9.850376
26,43.447500,17.841132,20.405000,29.928139,100.000000,0.000000,43.697500,22.005391,100.000000,0.000000,99.010000,9.850376
27,43.020000,17.695468,20.405000,29.928139,100.000000,0.000000,43.385000,22.340082,100.000000,0.000000,97.525000,15.456370
28,42.165000,19.295926,20.405000,29.928139,100.000000,0.000000,43.605000,22.301322,100.000000,0.000000,97.525000,15.456370
29,41.705000,19.129505,20.405000,29.928139,100.000000,0.000000,43.307500,22.560235,100.000000,0.000000,97.525000,15.456370
30,41.237500,19.024388,20.405000,29.928139,100.000000,0.000000,43.305000,22.666539,100.000000,0.000000,97.030000,16.888135
31,40.847500,19.205806,20.405000,29.928139,100.000000,0.000000,43.267500,22.758014,100.000000,0.000000,97.030000,16.888135
32,40.812500,19.265152,20.405000,29.928139,100.000000,0.000000,43.245000,22.864874,100.000000,0.000000,97.030000,16.888135
33,40.835000,19.220699,20.405000,29.928139,100.000000,0.000000,43.217500,22.976541,100.000000,0.000000,97.525000,15.456370
