Budget,Robust-FW_mean,Robust-FW_std,PARWiS_mean,PARWiS_std,SELECT_mean,SELECT_std,RUCB_mean,RUCB_std,MultiSort_mean,MultiSort_std,Knockout_mean,Knockout_std
1,49.757500,6.016847,38.070000,30.244588,100.000000,0.000000,51.000000,0.000000,100.000000,0.000000,99.505000,6.982834
2,50.252500,6.057433,38.070000,30.244588,100.000000,0.000000,50.790000,4.959929,100.000000,0.000000,99.505000,6.982834
3,49.757500,6.016847,38.070000,30.244588,100.000000,0.000000,50.792500,6.032884,100.000000,0.000000,98.020000,13.860000
4,49.772500,7.697856,38.070000,30.244588,100.000000,0.000000,50.750000,6.907424,100.000000,0.000000,98.020000,13.860000
5,49.762500,7.760306,38.070000,30.244588,100.000000,0.000000,50.950000,6.887307,100.000000,0.000000,98.020000,13.860000
6,49.770000,7.713436,38.070000,30.244588,100.000000,0.000000,50.382500,9.042259,100.000000,0.000000,97.030000,16.888135
7,49.300000,10.160463,38.070000,30.244588,100.000000,0.000000,50.350000,9.623669,100.000000,0.000000,97.030000,16.888135
8,49.765000,10.251574,38.070000,30.244588,100.000000,0.000000,50.285000,10.204228,100.000000,0.000000,97.030000,16.888135
9,49.295000,10.183589,38.070000,30.244588,100.000000,0.000000,49.995000,11.252776,100.000000,0.000000,99.010000,9.850376
10,48.825000,13.023608,38.070000,30.244588,100.000000,0.000000,49.700000,12.145369,100.000000,0.000000,99.010000,9.850376
11,48.810000,12.967224,38.070000,30.244588,100.000000,0.000000,49.417500,13.023419,100.000000,0.000000,99.010000,9.850376
12,48.812500,13.123208,38.070000,30.244588,100.000000,0.000000,49.115000,13.766782,100.000000,0.000000,98.515000,12.033693
13,47.872500,15.237618,38.070000,30.244588,100.000000,0.000000,49.342500,13.774213,100.000000,0.000000,98.515000,12.033693
14,47.862500,15.233428,38.070000,30.244588,100.000000,0.000000,49.277500,14.127517,100.000000,0.000000,98.515000,12.033693
15,47.867500,15.235688,38.070000,30.244588,100.000000,0.000000,48.975000,14.786797,100.000000,0.000000,99.010000,9.850376
16,48.115000,15.494653,38.070000,30.244588,100.000000,0.000000,48.670000,15.420720,100.000000,0.000000,99.010000,9.850376
17,48.110000,15.475800,38.070000,30.244588,100.000000,0.000000,47.910000,16.541672,100.000000,0.000000,99.010000,9.850376
18,48.127500,15.486607,38.070000,30.244588,100.000000,0.000000,48.112500,16.553960,100.000000,0.000000,98.020000,13.860000
19,47.935000,16.985016,38.070000,30.244588,100.000000,0.000000,48.312500,16.550788,100.000000,0.000000,98.020000,13.860000
