Budget, Robust-FW_mean, Robust-FW_std, PARWiS_mean, PARWiS_std, SELECT_mean, SELECT_std, RUCB_mean, RUCB_std, MultiSort_mean, MultiSort_std, Knockout_mean, Knockout_std
     1,       0.000000,      0.000000,    0.050000,   0.217945,    0.000000,   0.000000,  0.025000, 0.156125,       0.000000,      0.000000,      0.005000,     0.070534
     2,       0.000000,      0.000000,    0.050000,   0.217945,    0.000000,   0.000000,  0.020000, 0.140000,       0.000000,      0.000000,      0.005000,     0.070534
     3,       0.000000,      0.000000,    0.050000,   0.217945,    0.000000,   0.000000,  0.020000, 0.140000,       0.000000,      0.000000,      0.025000,     0.156125
     4,       0.000000,      0.000000,    0.050000,   0.217945,    0.000000,   0.000000,  0.015000, 0.121552,       0.000000,      0.000000,      0.025000,     0.156125
     5,       0.000000,      0.000000,    0.050000,   0.217945,    0.000000,   0.000000,  0.015000, 0.121552,       0.000000,      0.000000,      0.025000,     0.156125
     6,       0.000000,      0.000000,    0.050000,   0.217945,    0.000000,   0.000000,  0.015000, 0.121552,       0.000000,      0.000000,      0.025000,     0.156125
     7,       0.000000,      0.000000,    0.050000,   0.217945,    0.000000,   0.000000,  0.015000, 0.121552,       0.000000,      0.000000,      0.025000,     0.156125
     8,       0.005000,      0.070534,    0.050000,   0.217945,    0.000000,   0.000000,  0.015000, 0.121552,       0.000000,      0.000000,      0.025000,     0.156125
     9,       0.005000,      0.070534,    0.050000,   0.217945,    0.000000,   0.000000,  0.015000, 0.121552,       0.000000,      0.000000,      0.015000,     0.121552
    10,       0.005000,      0.070534,    0.050000,   0.217945,    0.000000,   0.000000,  0.015000, 0.121552,       0.000000,      0.000000,      0.015000,     0.121552
    11,       0.005000,      0.070534,    0.050000,   0.217945,    0.000000,   0.000000,  0.015000, 0.121552,       0.000000,      0.000000,      0.015000,     0.121552
    12,       0.005000,      0.070534,    0.050000,   0.217945,    0.000000,   0.000000,  0.015000, 0.121552,       0.000000,      0.000000,      0.010000,     0.099499
    13,       0.005000,      0.070534,    0.050000,   0.217945,    0.000000,   0.000000,  0.015000, 0.121552,       0.000000,      0.000000,      0.010000,     0.099499
    14,       0.005000,      0.070534,    0.050000,   0.217945,    0.000000,   0.000000,  0.015000, 0.121552,       0.000000,      0.000000,      0.010000,     0.099499
    15,       0.005000,      0.070534,    0.050000,   0.217945,    0.000000,   0.000000,  0.015000, 0.121552,       0.000000,      0.000000,      0.010000,     0.099499
    16,       0.005000,      0.070534,    0.050000,   0.217945,    0.000000,   0.000000,  0.015000, 0.121552,       0.000000,      0.000000,      0.010000,     0.099499
    17,       0.010000,      0.099499,    0.050000,   0.217945,    0.000000,   0.000000,  0.015000, 0.121552,       0.000000,      0.000000,      0.010000,     0.099499
    18,       0.015000,      0.121552,    0.050000,   0.217945,    0.000000,   0.000000,  0.015000, 0.121552,       0.000000,      0.000000,      0.015000,     0.121552
    19,       0.015000,      0.121552,    0.050000,   0.217945,    0.000000,   0.000000,  0.015000, 0.121552,       0.000000,      0.000000,      0.015000,     0.121552
    20,       0.015000,      0.121552,    0.050000,   0.217945,    0.000000,   0.000000,  0.015000, 0.121552,       0.000000,      0.000000,      0.015000,     0.121552
    21,       0.015000,      0.121552,    0.050000,   0.217945,    0.000000,   0.000000,  0.015000, 0.121552,       0.000000,      0.000000,      0.025000,     0.156125
    22,       0.015000,      0.121552,    0.050000,   0.217945,    0.000000,   0.000000,  0.015000, 0.121552,       0.000000,      0.000000,      0.025000,     0.156125
    23,       0.015000,      0.121552,    0.050000,   0.217945,    0.000000,   0.000000,  0.015000, 0.121552,       0.000000,      0.000000,      0.025000,     0.156125
    24,       0.020000,      0.140000,    0.050000,   0.217945,    0.000000,   0.000000,  0.015000, 0.121552,       0.000000,      0.000000,      0.025000,     0.156125
    25,       0.020000,      0.140000,    0.050000,   0.217945,    0.000000,   0.000000,  0.015000, 0.121552,       0.000000,      0.000000,      0.025000,     0.156125
    26,       0.020000,      0.140000,    0.050000,   0.217945,    0.000000,   0.000000,  0.015000, 0.121552,       0.000000,      0.000000,      0.025000,     0.156125
    27,       0.025000,      0.156125,    0.050000,   0.217945,    0.000000,   0.000000,  0.015000, 0.121552,       0.000000,      0.000000,      0.020000,     0.140000
    28,       0.025000,      0.156125,    0.050000,   0.217945,    0.000000,   0.000000,  0.015000, 0.121552,       0.000000,      0.000000,      0.020000,     0.140000
    29,       0.025000,      0.156125,    0.050000,   0.217945,    0.000000,   0.000000,  0.015000, 0.121552,       0.000000,      0.000000,      0.020000,     0.140000
    30,       0.035000,      0.183780,    0.050000,   0.217945,    0.000000,   0.000000,  0.015000, 0.121552,       0.000000,      0.000000,      0.015000,     0.121552
    31,       0.035000,      0.183780,    0.050000,   0.217945,    0.000000,   0.000000,  0.015000, 0.121552,       0.000000,      0.000000,      0.015000,     0.121552
    32,       0.035000,      0.183780,    0.050000,   0.217945,    0.000000,   0.000000,  0.015000, 0.121552,       0.000000,      0.000000,      0.015000,     0.121552
    33,       0.035000,      0.183780,    0.050000,   0.217945,    0.000000,   0.000000,  0.015000, 0.121552,       0.000000,      0.000000,      0.010000,     0.099499
    34,       0.035000,      0.183780,    0.050000,   0.217945,    0.000000,   0.000000,  0.015000, 0.121552,       0.000000,      0.000000,      0.010000,     0.099499
    35,       0.035000,      0.183780,    0.050000,   0.217945,    0.000000,   0.000000,  0.015000, 0.121552,       0.000000,      0.000000,      0.010000,     0.099499
    36,       0.030000,      0.170587,    0.050000,   0.217945,    0.000000,   0.000000,  0.015000, 0.121552,       0.000000,      0.000000,      0.010000,     0.099499
    37,       0.030000,      0.170587,    0.050000,   0.217945,    0.000000,   0.000000,  0.015000, 0.121552,       0.000000,      0.000000,      0.010000,     0.099499
    38,       0.030000,      0.170587,    0.050000,   0.217945,    0.000000,   0.000000,  0.015000, 0.121552,       0.000000,      0.000000,      0.010000,     0.099499
    39,       0.035000,      0.183780,    0.050000,   0.217945,    0.000000,   0.000000,  0.015000, 0.121552,       0.000000,      0.000000,      0.010000,     0.099499
    40,       0.035000,      0.183780,    0.050000,   0.217945,    0.000000,   0.000000,  0.015000, 0.121552,       0.000000,      0.000000,      0.010000,     0.099499
    41,       0.035000,      0.183780,    0.050000,   0.217945,    0.000000,   0.000000,  0.015000, 0.121552,       0.000000,      0.000000,      0.010000,     0.099499
    42,       0.035000,      0.183780,    0.050000,   0.217945,    0.000000,   0.000000,  0.015000, 0.121552,       0.000000,      0.000000,      0.010000,     0.099499
    43,       0.035000,      0.183780,    0.050000,   0.217945,    0.000000,   0.000000,  0.015000, 0.121552,       0.000000,      0.000000,      0.010000,     0.099499
    44,       0.035000,      0.183780,    0.050000,   0.217945,    0.000000,   0.000000,  0.015000, 0.121552,       0.000000,      0.000000,      0.010000,     0.099499
    45,       0.040000,      0.195959,    0.050000,   0.217945,    0.000000,   0.000000,  0.015000, 0.121552,       0.000000,      0.000000,      0.000000,     0.000000
    46,       0.040000,      0.195959,    0.050000,   0.217945,    0.000000,   0.000000,  0.015000, 0.121552,       0.000000,      0.000000,      0.000000,     0.000000
    47,       0.040000,      0.195959,    0.050000,   0.217945,    0.000000,   0.000000,  0.015000, 0.121552,       0.000000,      0.000000,      0.000000,     0.000000
    48,       0.045000,      0.207304,    0.050000,   0.217945,    0.000000,   0.000000,  0.015000, 0.121552,       0.000000,      0.000000,      0.020000,     0.140000
    49,       0.045000,      0.207304,    0.050000,   0.217945,    0.000000,   0.000000,  0.015000, 0.121552,       0.000000,      0.000000,      0.020000,     0.140000
    50,       0.045000,      0.207304,    0.050000,   0.217945,    0.000000,   0.000000,  0.015000, 0.121552,       0.000000,      0.000000,      0.020000,     0.140000
    51,       0.045000,      0.207304,    0.050000,   0.217945,    0.000000,   0.000000,  0.015000, 0.121552,       0.000000,      0.000000,      0.015000,     0.121552
    52,       0.045000,      0.207304,    0.050000,   0.217945,    0.000000,   0.000000,  0.015000, 0.121552,       0.000000,      0.000000,      0.015000,     0.121552
    53,       0.045000,      0.207304,    0.050000,   0.217945,    0.000000,   0.000000,  0.015000, 0.121552,       0.000000,      0.000000,      0.015000,     0.121552
    54,       0.045000,      0.207304,    0.050000,   0.217945,    0.000000,   0.000000,  0.015000, 0.121552,       0.000000,      0.000000,      0.010000,     0.099499
    55,       0.045000,      0.207304,    0.050000,   0.217945,    0.000000,   0.000000,  0.015000, 0.121552,       0.000000,      0.000000,      0.010000,     0.099499
    56,       0.045000,      0.207304,    0.050000,   0.217945,    0.000000,   0.000000,  0.015000, 0.121552,       0.000000,      0.000000,      0.010000,     0.099499
    57,       0.045000,      0.207304,    0.050000,   0.217945,    0.000000,   0.000000,  0.015000, 0.121552,       0.000000,      0.000000,      0.005000,     0.070534
    58,       0.045000,      0.207304,    0.050000,   0.217945,    0.000000,   0.000000,  0.015000, 0.121552,       0.000000,      0.000000,      0.005000,     0.070534
    59,       0.045000,      0.207304,    0.050000,   0.217945,    0.000000,   0.000000,  0.015000, 0.121552,       0.000000,      0.000000,      0.005000,     0.070534
    60,       0.045000,      0.207304,    0.050000,   0.217945,    0.000000,   0.000000,  0.015000, 0.121552,       0.000000,      0.000000,      0.020000,     0.140000
    61,       0.045000,      0.207304,    0.050000,   0.217945,    0.000000,   0.000000,  0.015000, 0.121552,       0.000000,      0.000000,      0.020000,     0.140000
