Budget, Robust-FW_mean, Robust-FW_std, PARWiS_mean, PARWiS_std, SELECT_mean, SELECT_std, RUCB_mean, RUCB_std , MultiSort_mean, MultiSort_std, Knockout_mean, Knockout_std
     1,      41.855000,     27.635375,   14.480000,  16.102782,  100.000000,   0.000000, 41.055000, 26.358907,     100.000000,      0.000000,     50.685000,    29.696393
     2,      39.350000,     26.537474,   14.480000,  16.102782,  100.000000,   0.000000, 44.300000, 27.017957,     100.000000,      0.000000,     50.685000,    29.696393
     3,      38.740000,     25.990621,   14.480000,  16.102782,  100.000000,   0.000000, 46.365000, 26.762133,     100.000000,      0.000000,     40.445000,    26.063134
     4,      35.735000,     25.164157,   14.480000,  16.102782,  100.000000,   0.000000, 46.975000, 27.537509,     100.000000,      0.000000,     40.445000,    26.063134
     5,      36.535000,     24.676685,   14.480000,  16.102782,  100.000000,   0.000000, 47.730000, 28.187534,     100.000000,      0.000000,     40.445000,    26.063134
     6,      35.695000,     24.831673,   14.480000,  16.102782,  100.000000,   0.000000, 49.265000, 28.117339,     100.000000,      0.000000,     36.370000,    25.240703
     7,      35.950000,     24.932258,   14.480000,  16.102782,  100.000000,   0.000000, 49.515000, 28.324014,     100.000000,      0.000000,     36.370000,    25.240703
     8,      33.770000,     24.206964,   14.480000,  16.102782,  100.000000,   0.000000, 49.530000, 28.451698,     100.000000,      0.000000,     36.370000,    25.240703
     9,      33.475000,     24.220227,   14.480000,  16.102782,  100.000000,   0.000000, 49.355000, 28.332119,     100.000000,      0.000000,     37.105000,    25.796201
    10,      33.500000,     24.423554,   14.480000,  16.102782,  100.000000,   0.000000, 49.830000, 28.497212,     100.000000,      0.000000,     37.105000,    25.796201
    11,      32.085000,     23.581725,   14.480000,  16.102782,  100.000000,   0.000000, 49.835000, 28.491539,     100.000000,      0.000000,     37.105000,    25.796201
    12,      32.610000,     23.135857,   14.480000,  16.102782,  100.000000,   0.000000, 50.225000, 28.586787,     100.000000,      0.000000,     40.190000,    25.937500
    13,      32.465000,     23.192645,   14.480000,  16.102782,  100.000000,   0.000000, 49.860000, 28.440120,     100.000000,      0.000000,     40.190000,    25.937500
    14,      32.185000,     22.420098,   14.480000,  16.102782,  100.000000,   0.000000, 49.960000, 28.629328,     100.000000,      0.000000,     40.190000,    25.937500
    15,      32.365000,     23.412855,   14.480000,  16.102782,  100.000000,   0.000000, 50.305000, 28.813920,     100.000000,      0.000000,     37.645000,    25.424378
    16,      32.580000,     23.723271,   14.480000,  16.102782,  100.000000,   0.000000, 49.960000, 28.629328,     100.000000,      0.000000,     37.645000,    25.424378
    17,      32.495000,     23.536142,   14.480000,  16.102782,  100.000000,   0.000000, 49.990000, 28.610486,     100.000000,      0.000000,     37.645000,    25.424378
    18,      33.700000,     24.702834,   14.480000,  16.102782,  100.000000,   0.000000, 50.205000, 28.785812,     100.000000,      0.000000,     40.925000,    25.404515
    19,      33.700000,     24.702834,   14.480000,  16.102782,  100.000000,   0.000000, 49.925000, 28.610826,     100.000000,      0.000000,     40.925000,    25.404515
    20,      34.505000,     24.942734,   14.480000,  16.102782,  100.000000,   0.000000, 50.300000, 28.694425,     100.000000,      0.000000,     40.925000,    25.404515
    21,      34.895000,     25.386886,   14.480000,  16.102782,  100.000000,   0.000000, 49.970000, 28.511385,     100.000000,      0.000000,     35.705000,    23.806889
    22,      34.895000,     25.386886,   14.480000,  16.102782,  100.000000,   0.000000, 49.820000, 28.678696,     100.000000,      0.000000,     35.705000,    23.806889
    23,      35.465000,     25.620866,   14.480000,  16.102782,  100.000000,   0.000000, 49.820000, 28.678696,     100.000000,      0.000000,     35.705000,    23.806889
    24,      36.135000,     26.025695,   14.480000,  16.102782,  100.000000,   0.000000, 49.820000, 28.678696,     100.000000,      0.000000,     36.595000,    24.271814
    25,      36.135000,     26.025695,   14.480000,  16.102782,  100.000000,   0.000000, 49.820000, 28.678696,     100.000000,      0.000000,     36.595000,    24.271814
    26,      36.270000,     25.978204,   14.480000,  16.102782,  100.000000,   0.000000, 49.820000, 28.678696,     100.000000,      0.000000,     36.595000,    24.271814
    27,      36.295000,     25.857455,   14.480000,  16.102782,  100.000000,   0.000000, 49.430000, 28.578228,     100.000000,      0.000000,     38.285000,    26.122859
    28,      36.295000,     25.857455,   14.480000,  16.102782,  100.000000,   0.000000, 50.030000, 28.948214,     100.000000,      0.000000,     38.285000,    26.122859
    29,      36.295000,     25.857455,   14.480000,  16.102782,  100.000000,   0.000000, 50.030000, 28.948214,     100.000000,      0.000000,     38.285000,    26.122859
    30,      34.310000,     25.571740,   14.480000,  16.102782,  100.000000,   0.000000, 49.750000, 28.772513,     100.000000,      0.000000,     38.005000,    23.859903
    31,      34.310000,     25.571740,   14.480000,  16.102782,  100.000000,   0.000000, 49.970000, 28.835379,     100.000000,      0.000000,     38.005000,    23.859903
    32,      34.310000,     25.571740,   14.480000,  16.102782,  100.000000,   0.000000, 49.490000, 28.814231,     100.000000,      0.000000,     38.005000,    23.859903
    33,      34.910000,     25.219475,   14.480000,  16.102782,  100.000000,   0.000000, 49.490000, 28.814231,     100.000000,      0.000000,     40.060000,    22.810664
    34,      34.910000,     25.219475,   14.480000,  16.102782,  100.000000,   0.000000, 49.490000, 28.814231,     100.000000,      0.000000,     40.060000,    22.810664
    35,      34.910000,     25.219475,   14.480000,  16.102782,  100.000000,   0.000000, 49.490000, 28.814231,     100.000000,      0.000000,     40.060000,    22.810664
    36,      34.915000,     25.378096,   14.480000,  16.102782,  100.000000,   0.000000, 49.490000, 28.814231,     100.000000,      0.000000,     41.495000,    25.138615
    37,      34.915000,     25.378096,   14.480000,  16.102782,  100.000000,   0.000000, 49.490000, 28.814231,     100.000000,      0.000000,     41.495000,    25.138615
    38,      34.915000,     25.378096,   14.480000,  16.102782,  100.000000,   0.000000, 49.490000, 28.814231,     100.000000,      0.000000,     41.495000,    25.138615
    39,      35.695000,     25.770952,   14.480000,  16.102782,  100.000000,   0.000000, 49.490000, 28.814231,     100.000000,      0.000000,     41.960000,    25.055307
    40,      35.695000,     25.770952,   14.480000,  16.102782,  100.000000,   0.000000, 49.335000, 28.613856,     100.000000,      0.000000,     41.960000,    25.055307
    41,      35.755000,     25.776248,   14.480000,  16.102782,  100.000000,   0.000000, 49.335000, 28.613856,     100.000000,      0.000000,     41.960000,    25.055307
    42,      35.185000,     25.701377,   14.480000,  16.102782,  100.000000,   0.000000, 49.035000, 28.415907,     100.000000,      0.000000,     38.645000,    24.234665
    43,      35.185000,     25.701377,   14.480000,  16.102782,  100.000000,   0.000000, 49.035000, 28.415907,     100.000000,      0.000000,     38.645000,    24.234665
    44,      35.185000,     25.701377,   14.480000,  16.102782,  100.000000,   0.000000, 49.515000, 28.445031,     100.000000,      0.000000,     38.645000,    24.234665
    45,      36.455000,     25.733985,   14.480000,  16.102782,  100.000000,   0.000000, 49.515000, 28.445031,     100.000000,      0.000000,     38.670000,    25.651337
    46,      36.455000,     25.733985,   14.480000,  16.102782,  100.000000,   0.000000, 49.515000, 28.445031,     100.000000,      0.000000,     38.670000,    25.651337
    47,      36.455000,     25.733985,   14.480000,  16.102782,  100.000000,   0.000000, 49.515000, 28.445031,     100.000000,      0.000000,     38.670000,    25.651337
    48,      36.775000,     25.942521,   14.480000,  16.102782,  100.000000,   0.000000, 49.515000, 28.445031,     100.000000,      0.000000,     37.940000,    22.799702
    49,      36.775000,     25.942521,   14.480000,  16.102782,  100.000000,   0.000000, 49.515000, 28.445031,     100.000000,      0.000000,     37.940000,    22.799702
    50,      36.775000,     25.942521,   14.480000,  16.102782,  100.000000,   0.000000, 49.515000, 28.445031,     100.000000,      0.000000,     37.940000,    22.799702
    51,      35.780000,     25.749400,   14.480000,  16.102782,  100.000000,   0.000000, 48.705000, 28.227964,     100.000000,      0.000000,     37.490000,    24.192352
