Budget,Robust-FW_mean,Robust-FW_std,PARWiS_mean,PARWiS_std,SELECT_mean,SELECT_std,RUCB_mean,RUCB_std,MultiSort_mean,MultiSort_std,Knockout_mean,Knockout_std
1,50.500000,0.000000,27.130000,28.398294,100.000000,0.000000,49.750000,7.806247,100.000000,0.000000,99.505000,6.982834
2,50.500000,0.000000,27.130000,28.398294,100.000000,0.000000,49.595000,9.189585,100.000000,0.000000,99.505000,6.982834
3,50.500000,0.000000,27.130000,28.398294,100.000000,0.000000,49.660000,9.812589,100.000000,0.000000,97.525000,15.456370
4,50.015000,6.841767,27.130000,28.398294,100.000000,0.000000,49.702500,10.367871,100.000000,0.000000,97.525000,15.456370
5,50.015000,6.841767,27.130000,28.398294,100.000000,0.000000,49.500000,11.410631,100.000000,0.000000,97.525000,15.456370
6,49.527500,6.807569,27.130000,28.398294,100.000000,0.000000,49.525000,11.923585,100.000000,0.000000,97.030000,16.888135
7,49.295000,8.953238,27.130000,28.398294,100.000000,0.000000,49.300000,12.806737,100.000000,0.000000,97.030000,16.888135
8,49.290000,8.979889,27.130000,28.398294,100.000000,0.000000,49.050000,13.573412,100.000000,0.000000,97.030000,16.888135
9,49.297500,8.967455,27.130000,28.398294,100.000000,0.000000,48.835000,14.326995,100.000000,0.000000,98.020000,13.860000
10,49.075000,10.550800,27.130000,28.398294,100.000000,0.000000,48.852500,14.650068,100.000000,0.000000,98.020000,13.860000
11,48.600000,10.520456,27.130000,28.398294,100.000000,0.000000,48.635000,15.310920,100.000000,0.000000,98.020000,13.860000
12,49.060000,10.593342,27.130000,28.398294,100.000000,0.000000,48.872500,15.358873,100.000000,0.000000,99.010000,9.850376
13,48.832500,11.979386,27.130000,28.398294,100.000000,0.000000,48.392500,16.282113,100.000000,0.000000,99.010000,9.850376
14,48.827500,11.958846,27.130000,28.398294,100.000000,0.000000,48.107500,16.875787,100.000000,0.000000,99.010000,9.850376
15,48.825000,12.007576,27.130000,28.398294,100.000000,0.000000,47.622500,17.651876,100.000000,0.000000,98.515000,12.033693
16,47.900000,13.461519,27.130000,28.398294,100.000000,0.000000,47.865000,17.638573,100.000000,0.000000,98.515000,12.033693
17,48.335000,13.574619,27.130000,28.398294,100.000000,0.000000,47.650000,18.148967,100.000000,0.000000,98.515000,12.033693
18,47.872500,13.552121,27.130000,28.398294,100.000000,0.000000,47.180000,18.777449,100.000000,0.000000,98.020000,13.860000
19,48.115000,14.586613,27.130000,28.398294,100.000000,0.000000,46.947500,19.182700,100.000000,0.000000,98.020000,13.860000
20,47.675000,14.557537,27.130000,28.398294,100.000000,0.000000,46.647500,19.615032,100.000000,0.000000,98.020000,13.860000
21,47.630000,14.530678,27.130000,28.398294,100.000000,0.000000,46.135000,20.155998,100.000000,0.000000,97.525000,15.456370
22,46.740000,15.562934,27.130000,28.398294,100.000000,0.000000,46.322500,20.203644,100.000000,0.000000,97.525000,15.456370
23,46.715000,15.658585,27.130000,28.398294,100.000000,0.000000,46.075000,20.592520,100.000000,0.000000,97.525000,15.456370
24,46.737500,15.570078,27.130000,28.398294,100.000000,0.000000,45.337500,21.239288,100.000000,0.000000,97.525000,15.456370
25,45.857500,17.008335,27.130000,28.398294,100.000000,0.000000,45.587500,21.243790,100.000000,0.000000,97.525000,15.456370
26,45.382500,17.030779,27.130000,28.398294,100.000000,0.000000,45.785000,21.308596,100.000000,0.000000,97.525000,15.456370
27,45.362500,17.064872,27.130000,28.398294,100.000000,0.000000,45.537500,21.567159,100.000000,0.000000,98.020000,13.860000
