Budget,Robust-FW_mean,Robust-FW_std,PARWiS_mean,PARWiS_std,SELECT_mean,SELECT_std,RUCB_mean,RUCB_std,MultiSort_mean,MultiSort_std,Knockout_mean,Knockout_std
1,0.078000,0.268172,0.260000,0.438634,0.000000,0.000000,0.064000,0.244753,0.000000,0.000000,0.052000,0.222027
2,0.084000,0.277388,0.260000,0.438634,0.000000,0.000000,0.062000,0.241156,0.000000,0.000000,0.052000,0.222027
3,0.098000,0.297315,0.260000,0.438634,0.000000,0.000000,0.058000,0.233743,0.000000,0.000000,0.090000,0.286182
4,0.110000,0.312890,0.260000,0.438634,0.000000,0.000000,0.056000,0.229922,0.000000,0.000000,0.090000,0.286182
5,0.128000,0.334090,0.260000,0.438634,0.000000,0.000000,0.052000,0.222027,0.000000,0.000000,0.090000,0.286182
6,0.118000,0.322608,0.260000,0.438634,0.000000,0.000000,0.052000,0.222027,0.000000,0.000000,0.090000,0.286182
7,0.120000,0.324962,0.260000,0.438634,0.000000,0.000000,0.054000,0.226018,0.000000,0.000000,0.090000,0.286182
8,0.124000,0.329582,0.260000,0.438634,0.000000,0.000000,0.054000,0.226018,0.000000,0.000000,0.090000,0.286182
9,0.128000,0.334090,0.260000,0.438634,0.000000,0.000000,0.054000,0.226018,0.000000,0.000000,0.106000,0.307838
10,0.126000,0.331849,0.260000,0.438634,0.000000,0.000000,0.052000,0.222027,0.000000,0.000000,0.106000,0.307838
11,0.134000,0.340652,0.260000,0.438634,0.000000,0.000000,0.048000,0.213766,0.000000,0.000000,0.106000,0.307838
12,0.132000,0.338491,0.260000,0.438634,0.000000,0.000000,0.048000,0.213766,0.000000,0.000000,0.070000,0.255147
13,0.134000,0.340652,0.260000,0.438634,0.000000,0.000000,0.048000,0.213766,0.000000,0.000000,0.070000,0.255147
14,0.134000,0.340652,0.260000,0.438634,0.000000,0.000000,0.048000,0.213766,0.000000,0.000000,0.070000,0.255147
