Budget,Robust-FW_mean,Robust-FW_std,PARWiS_mean,PARWiS_std,SELECT_mean,SELECT_std,RUCB_mean,RUCB_std,MultiSort_mean,MultiSort_std,Knockout_mean,Knockout_std
1,0.005000,0.070534,0.035000,0.183780,0.000000,0.000000,0.005000,0.070534,0.000000,0.000000,0.015000,0.121552
2,0.000000,0.000000,0.035000,0.183780,0.000000,0.000000,0.010000,0.099499,0.000000,0.000000,0.015000,0.121552
3,0.005000,0.070534,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,0.121552
4,0.005000,0.070534,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,0.121552
5,0.015000,0.121552,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,0.121552
6,0.020000,0.140000,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,0.015000,0.121552,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,0.020000,0.140000,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,0.015000,0.121552,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.099499
10,0.015000,0.121552,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.099499
11,0.015000,0.121552,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.099499
12,0.020000,0.140000,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005000,0.070534
13,0.025000,0.156125,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005000,0.070534
14,0.020000,0.140000,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005000,0.070534
15,0.020000,0.140000,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.140000
16,0.020000,0.140000,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.140000
17,0.020000,0.140000,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.140000
18,0.020000,0.140000,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.140000
19,0.020000,0.140000,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.140000
20,0.025000,0.156125,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.140000
21,0.025000,0.156125,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,0.121552
22,0.025000,0.156125,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,0.121552
23,0.030000,0.170587,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,0.121552
24,0.030000,0.170587,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,0.121552
25,0.030000,0.170587,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,0.121552
26,0.030000,0.170587,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,0.121552
27,0.030000,0.170587,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,0.121552
28,0.030000,0.170587,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,0.121552
29,0.030000,0.170587,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,0.121552
30,0.030000,0.170587,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.140000
31,0.030000,0.170587,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.140000
32,0.030000,0.170587,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.140000
33,0.030000,0.170587,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.099499
34,0.030000,0.170587,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.099499
35,0.030000,0.170587,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.099499
36,0.030000,0.170587,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.140000
37,0.030000,0.170587,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.140000
38,0.030000,0.170587,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.140000
39,0.030000,0.170587,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
40,0.030000,0.170587,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
41,0.030000,0.170587,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
42,0.030000,0.170587,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,0.121552
43,0.030000,0.170587,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,0.121552
44,0.030000,0.170587,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,0.121552
45,0.030000,0.170587,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
46,0.030000,0.170587,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
47,0.030000,0.170587,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
48,0.035000,0.183780,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.040000,0.195959
49,0.035000,0.183780,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.040000,0.195959
50,0.035000,0.183780,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.040000,0.195959
51,0.035000,0.183780,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.099499
52,0.035000,0.183780,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.099499
53,0.035000,0.183780,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.099499
54,0.030000,0.170587,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005000,0.070534
55,0.030000,0.170587,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005000,0.070534
56,0.030000,0.170587,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005000,0.070534
57,0.025000,0.156125,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.025000,0.156125
58,0.025000,0.156125,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.025000,0.156125
59,0.025000,0.156125,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.025000,0.156125
60,0.020000,0.140000,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005000,0.070534
61,0.020000,0.140000,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005000,0.070534
62,0.020000,0.140000,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005000,0.070534
63,0.020000,0.140000,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.025000,0.156125
64,0.020000,0.140000,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.025000,0.156125
65,0.020000,0.140000,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.025000,0.156125
66,0.020000,0.140000,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.099499
67,0.020000,0.140000,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.099499
68,0.020000,0.140000,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.099499
69,0.010000,0.099499,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.140000
70,0.010000,0.099499,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.140000
71,0.010000,0.099499,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.140000
72,0.010000,0.099499,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,0.121552
73,0.010000,0.099499,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,0.121552
74,0.010000,0.099499,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,0.121552
75,0.005000,0.070534,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005000,0.070534
76,0.005000,0.070534,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005000,0.070534
77,0.005000,0.070534,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005000,0.070534
78,0.000000,0.000000,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.099499
79,0.000000,0.000000,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.099499
80,0.000000,0.000000,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.099499
81,0.000000,0.000000,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005000,0.070534
82,0.000000,0.000000,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005000,0.070534
83,0.000000,0.000000,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005000,0.070534
84,0.000000,0.000000,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
85,0.000000,0.000000,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
86,0.000000,0.000000,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
87,0.000000,0.000000,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,0.121552
88,0.000000,0.000000,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,0.121552
89,0.000000,0.000000,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,0.121552
90,0.000000,0.000000,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
91,0.000000,0.000000,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
92,0.000000,0.000000,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
93,0.000000,0.000000,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.099499
94,0.000000,0.000000,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.099499
95,0.000000,0.000000,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.099499
96,0.000000,0.000000,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.140000
97,0.000000,0.000000,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.140000
98,0.000000,0.000000,0.035000,0.183780,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.140000
99,0.000000,0.000000,0.035000,0.183780,0.030000,0.170587,0.000000,0.000000,0.000000,0.000000,0.010000,0.099499
100,0.000000,0.000000,0.030000,0.170587,0.030000,0.170587,0.000000,0.000000,0.000000,0.000000,0.010000,0.099499
101,0.000000,0.000000,0.035000,0.183780,0.030000,0.170587,0.000000,0.000000,0.000000,0.000000,0.010000,0.099499
102,0.000000,0.000000,0.040000,0.195959,0.030000,0.170587,0.000000,0.000000,0.000000,0.000000,0.020000,0.140000
103,0.000000,0.000000,0.040000,0.195959,0.030000,0.170587,0.000000,0.000000,0.000000,0.000000,0.020000,0.140000
104,0.000000,0.000000,0.040000,0.195959,0.030000,0.170587,0.000000,0.000000,0.000000,0.000000,0.020000,0.140000
105,0.000000,0.000000,0.040000,0.195959,0.030000,0.170587,0.000000,0.000000,0.000000,0.000000,0.010000,0.099499
106,0.000000,0.000000,0.040000,0.195959,0.030000,0.170587,0.000000,0.000000,0.000000,0.000000,0.010000,0.099499
107,0.000000,0.000000,0.040000,0.195959,0.030000,0.170587,0.000000,0.000000,0.000000,0.000000,0.010000,0.099499
108,0.000000,0.000000,0.040000,0.195959,0.030000,0.170587,0.000000,0.000000,0.000000,0.000000,0.025000,0.156125
109,0.000000,0.000000,0.040000,0.195959,0.030000,0.170587,0.000000,0.000000,0.000000,0.000000,0.025000,0.156125
110,0.000000,0.000000,0.040000,0.195959,0.030000,0.170587,0.000000,0.000000,0.000000,0.000000,0.025000,0.156125
111,0.000000,0.000000,0.040000,0.195959,0.030000,0.170587,0.000000,0.000000,0.000000,0.000000,0.015000,0.121552
112,0.005000,0.070534,0.040000,0.195959,0.030000,0.170587,0.000000,0.000000,0.000000,0.000000,0.015000,0.121552
113,0.000000,0.000000,0.040000,0.195959,0.030000,0.170587,0.000000,0.000000,0.000000,0.000000,0.015000,0.121552
114,0.000000,0.000000,0.040000,0.195959,0.030000,0.170587,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
115,0.000000,0.000000,0.040000,0.195959,0.030000,0.170587,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
116,0.000000,0.000000,0.040000,0.195959,0.030000,0.170587,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
117,0.000000,0.000000,0.040000,0.195959,0.030000,0.170587,0.000000,0.000000,0.000000,0.000000,0.010000,0.099499
118,0.000000,0.000000,0.040000,0.195959,0.030000,0.170587,0.000000,0.000000,0.000000,0.000000,0.010000,0.099499
119,0.000000,0.000000,0.040000,0.195959,0.030000,0.170587,0.000000,0.000000,0.000000,0.000000,0.010000,0.099499
120,0.000000,0.000000,0.040000,0.195959,0.030000,0.170587,0.000000,0.000000,0.000000,0.000000,0.010000,0.099499
121,0.000000,0.000000,0.040000,0.195959,0.030000,0.170587,0.000000,0.000000,0.000000,0.000000,0.010000,0.099499
122,0.005000,0.070534,0.040000,0.195959,0.030000,0.170587,0.000000,0.000000,0.000000,0.000000,0.010000,0.099499
