Budget,Robust-FW_mean,Robust-FW_std,PARWiS_mean,PARWiS_std,SELECT_mean,SELECT_std,RUCB_mean,RUCB_std,MultiSort_mean,MultiSort_std,Knockout_mean,Knockout_std
1,0.010000,0.099499,0.075000,0.263391,0.000000,0.000000,0.015000,0.121552,0.000000,0.000000,0.005000,0.070534
2,0.015000,0.121552,0.075000,0.263391,0.000000,0.000000,0.005000,0.070534,0.000000,0.000000,0.005000,0.070534
3,0.015000,0.121552,0.075000,0.263391,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.099499
4,0.020000,0.140000,0.075000,0.263391,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.099499
5,0.030000,0.170587,0.075000,0.263391,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.099499
6,0.025000,0.156125,0.075000,0.263391,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.099499
7,0.025000,0.156125,0.075000,0.263391,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.099499
8,0.025000,0.156125,0.075000,0.263391,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010000,0.099499
9,0.015000,0.121552,0.075000,0.263391,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.030000,0.170587
10,0.020000,0.140000,0.075000,0.263391,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.030000,0.170587
11,0.025000,0.156125,0.075000,0.263391,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.030000,0.170587
12,0.020000,0.140000,0.075000,0.263391,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005000,0.070534
13,0.020000,0.140000,0.075000,0.263391,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005000,0.070534
14,0.020000,0.140000,0.075000,0.263391,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005000,0.070534
15,0.020000,0.140000,0.075000,0.263391,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,0.121552
16,0.020000,0.140000,0.075000,0.263391,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,0.121552
17,0.020000,0.140000,0.075000,0.263391,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,0.121552
18,0.020000,0.140000,0.075000,0.263391,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.140000
19,0.020000,0.140000,0.075000,0.263391,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.140000
20,0.020000,0.140000,0.075000,0.263391,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.140000
21,0.020000,0.140000,0.075000,0.263391,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,0.121552
22,0.020000,0.140000,0.075000,0.263391,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,0.121552
23,0.020000,0.140000,0.075000,0.263391,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015000,0.121552
