Budget,Robust-FW_mean,Robust-FW_std,PARWiS_mean,PARWiS_std,SELECT_mean,SELECT_std,RUCB_mean,RUCB_std,MultiSort_mean,MultiSort_std,Knockout_mean,Knockout_std
1,8.794000,5.364845,4.640000,4.220118,20.000000,0.000000,8.939000,5.485324,20.000000,0.000000,10.022000,5.861870
2,8.940000,5.585911,4.640000,4.220118,20.000000,0.000000,9.099000,5.511778,20.000000,0.000000,10.022000,5.861870
3,8.390000,5.330188,4.640000,4.220118,20.000000,0.000000,9.438000,5.530114,20.000000,0.000000,8.199000,5.498445
4,8.221000,5.358606,4.640000,4.220118,20.000000,0.000000,9.735000,5.597077,20.000000,0.000000,8.199000,5.498445
5,7.794000,5.411799,4.640000,4.220118,20.000000,0.000000,9.847000,5.659248,20.000000,0.000000,8.199000,5.498445
6,7.702000,5.176408,4.640000,4.220118,20.000000,0.000000,9.727000,5.634977,20.000000,0.000000,8.037000,5.212785
7,7.456000,5.162370,4.640000,4.220118,20.000000,0.000000,9.665000,5.684125,20.000000,0.000000,8.037000,5.212785
8,6.995000,4.912380,4.640000,4.220118,20.000000,0.000000,9.551000,5.678987,20.000000,0.000000,8.037000,5.212785
9,6.927000,5.120271,4.640000,4.220118,20.000000,0.000000,9.658000,5.676534,20.000000,0.000000,8.156000,5.449465
10,6.988000,5.117603,4.640000,4.220118,20.000000,0.000000,9.620000,5.680634,20.000000,0.000000,8.156000,5.449465
11,6.677000,4.887757,4.640000,4.220118,20.000000,0.000000,9.783000,5.638653,20.000000,0.000000,8.156000,5.449465
12,6.874000,5.039754,4.640000,4.220118,20.000000,0.000000,9.732000,5.644305,20.000000,0.000000,7.949000,5.229044
13,6.670000,4.927383,4.640000,4.220118,20.000000,0.000000,9.872000,5.645141,20.000000,0.000000,7.949000,5.229044
14,6.410000,4.781203,4.640000,4.220118,20.000000,0.000000,9.849000,5.642225,20.000000,0.000000,7.949000,5.229044
15,6.192000,4.672594,4.640000,4.220118,20.000000,0.000000,9.773000,5.641451,20.000000,0.000000,8.147000,5.368043
16,5.796000,4.375201,4.640000,4.220118,20.000000,0.000000,9.797000,5.652547,20.000000,0.000000,8.147000,5.368043
17,5.719000,4.346095,4.640000,4.220118,20.000000,0.000000,9.694000,5.674536,20.000000,0.000000,8.147000,5.368043
18,5.840000,4.409467,4.640000,4.220118,20.000000,0.000000,9.587000,5.634264,20.000000,0.000000,8.163000,5.410354
19,5.639000,4.243840,4.640000,4.220118,3.861000,3.228030,9.618000,5.645625,20.000000,0.000000,8.163000,5.410354
20,5.663000,4.260860,4.210000,3.884315,3.861000,3.228030,9.553000,5.605505,20.000000,0.000000,8.163000,5.410354
21,5.768000,4.334879,4.154000,3.859052,3.861000,3.228030,9.584000,5.634265,20.000000,0.000000,7.873000,5.116578
22,5.698000,4.324904,4.002000,3.599999,3.861000,3.228030,9.459000,5.547866,20.000000,0.000000,7.873000,5.116578
23,5.502000,4.227647,3.950000,3.584062,3.861000,3.228030,9.392000,5.549715,20.000000,0.000000,7.873000,5.116578
24,5.531000,4.288652,3.915000,3.499468,3.861000,3.228030,9.227000,5.546528,20.000000,0.000000,7.779000,5.086714
25,5.334000,4.225215,3.895000,3.478286,3.861000,3.228030,9.315000,5.559791,19.968000,0.714826,7.779000,5.086714
26,5.385000,4.285939,3.885000,3.476532,3.861000,3.228030,9.168000,5.526190,19.890000,1.241733,7.779000,5.086714
27,5.168000,4.088982,3.877000,3.469347,3.861000,3.228030,9.201000,5.464714,19.890000,1.241733,7.871000,5.096161
28,5.155000,4.056288,3.865000,3.437626,3.861000,3.228030,8.997000,5.417332,19.830000,1.577688,7.871000,5.096161
29,5.109000,4.114683,3.861000,3.437467,3.861000,3.228030,8.879000,5.435426,19.808000,1.620844,7.871000,5.096161
30,5.003000,3.998061,3.838000,3.389212,3.861000,3.228030,8.785000,5.433164,19.763000,1.722304,8.101000,4.970241
31,5.027000,4.017433,3.802000,3.322920,3.861000,3.228030,8.738000,5.398829,19.623000,2.229881,8.101000,4.970241
32,4.921000,3.985130,3.807000,3.323289,3.861000,3.228030,8.718000,5.394578,19.451000,2.707970,8.101000,4.970241
33,5.036000,4.015807,3.773000,3.260057,3.861000,3.228030,8.549000,5.334332,19.117000,3.475171,5.887000,4.573919
34,5.020000,3.989937,3.768000,3.274321,3.861000,3.228030,8.501000,5.331182,18.752000,4.136363,5.887000,4.573919
35,4.970000,3.993758,3.766000,3.273873,3.861000,3.228030,8.369000,5.279426,18.251000,4.791920,5.887000,4.573919
36,4.812000,3.857156,3.746000,3.272993,3.861000,3.228030,8.248000,5.260751,17.665000,5.450071,5.866000,4.551928
37,4.688000,3.877713,3.746000,3.272993,3.861000,3.228030,8.208000,5.245449,17.115000,5.964082,5.866000,4.551928
38,4.664000,3.890386,3.754000,3.271159,3.861000,3.228030,8.147000,5.244797,16.658000,6.289597,5.866000,4.551928
39,4.448000,3.695172,3.732000,3.252565,3.861000,3.228030,8.097000,5.256433,16.139000,6.643582,6.239000,4.957457
40,4.238000,3.634330,3.732000,3.252565,3.861000,3.228030,7.955000,5.234928,15.400000,6.997214,6.239000,4.957457
41,4.345000,3.672666,3.722000,3.253262,3.861000,3.228030,7.906000,5.230025,14.810000,7.208252,6.239000,4.957457
42,4.268000,3.678882,3.715000,3.233771,3.861000,3.228030,7.853000,5.220334,14.370000,7.329468,5.856000,4.685431
43,4.166000,3.516311,3.715000,3.233771,3.861000,3.228030,7.777000,5.165537,14.019000,7.364383,5.856000,4.685431
44,4.132000,3.565610,3.715000,3.233771,3.861000,3.228030,7.614000,5.136244,13.329000,7.529559,5.856000,4.685431
45,4.216000,3.615985,3.699000,3.217437,3.861000,3.228030,7.530000,5.092946,12.729000,7.572388,6.074000,4.394033
46,4.227000,3.573510,3.673000,3.170106,3.861000,3.228030,7.499000,5.082175,11.926000,7.574399,6.074000,4.394033
47,4.022000,3.513476,3.673000,3.170106,3.861000,3.228030,7.370000,5.073372,11.132000,7.528982,6.074000,4.394033
48,4.069000,3.463487,3.673000,3.170106,3.861000,3.228030,7.297000,5.038382,10.440000,7.411167,4.272000,3.528316
49,3.637000,3.083137,3.673000,3.170106,3.861000,3.228030,7.305000,5.050592,9.915000,7.289326,4.272000,3.528316
50,3.573000,3.008683,3.673000,3.170106,3.861000,3.228030,7.202000,5.011107,9.505000,7.136559,4.272000,3.528316
51,3.431000,2.912171,3.682000,3.194351,3.861000,3.228030,7.162000,5.008968,9.155000,6.993674,4.245000,3.738780
52,3.402000,2.961317,3.682000,3.194351,3.861000,3.228030,7.138000,4.991288,8.640000,6.785602,4.245000,3.738780
53,3.156000,2.820224,3.682000,3.194351,3.861000,3.228030,7.126000,5.000412,8.263000,6.606915,4.245000,3.738780
54,3.209000,2.866499,3.682000,3.194351,3.861000,3.228030,7.035000,4.983400,7.999000,6.436808,3.107000,2.648594
55,2.844000,2.476624,3.682000,3.194351,3.861000,3.228030,7.020000,4.949101,7.651000,6.221149,3.107000,2.648594
56,2.678000,2.354000,3.682000,3.194351,3.861000,3.228030,7.007000,4.958876,7.602000,6.167057,3.107000,2.648594
57,2.638000,2.230461,3.643000,3.123948,3.861000,3.228030,6.963000,4.906540,7.504000,6.100736,3.032000,2.507185
