Budget,Robust-FW_mean,Robust-FW_std,PARWiS_mean,PARWiS_std,SELECT_mean,SELECT_std,RUCB_mean,RUCB_std,MultiSort_mean,MultiSort_std,Knockout_mean,Knockout_std
1,47.285000,28.868387,8.100000,18.366273,100.000000,0.000000,53.675000,22.897803,100.000000,0.000000,50.720000,29.750321
2,47.615000,29.298580,8.100000,18.366273,100.000000,0.000000,54.425000,17.268885,100.000000,0.000000,50.720000,29.750321
3,45.780000,28.637940,8.100000,18.366273,100.000000,0.000000,55.245000,11.507605,100.000000,0.000000,46.500000,29.322176
4,44.110000,28.386756,8.100000,18.366273,100.000000,0.000000,55.200000,8.964932,100.000000,0.000000,46.500000,29.322176
5,39.740000,28.433649,8.100000,18.366273,100.000000,0.000000,55.525000,8.033640,100.000000,0.000000,46.500000,29.322176
6,42.455000,30.128856,8.100000,18.366273,100.000000,0.000000,55.215000,8.222456,100.000000,0.000000,43.200000,29.185099
7,40.510000,29.500676,8.100000,18.366273,100.000000,0.000000,55.775000,6.056763,100.000000,0.000000,43.200000,29.185099
8,40.195000,28.670315,8.100000,18.366273,100.000000,0.000000,55.585000,5.666813,100.000000,0.000000,43.200000,29.185099
9,41.735000,30.487781,8.100000,18.366273,100.000000,0.000000,55.825000,4.225444,100.000000,0.000000,43.145000,28.913733
10,41.415000,30.419776,8.100000,18.366273,100.000000,0.000000,55.825000,4.225444,100.000000,0.000000,43.145000,28.913733
11,40.070000,30.408306,8.100000,18.366273,100.000000,0.000000,56.105000,4.893258,100.000000,0.000000,43.145000,28.913733
12,40.165000,30.931825,8.100000,18.366273,100.000000,0.000000,55.720000,5.854195,100.000000,0.000000,43.625000,29.102481
13,39.360000,30.821752,8.100000,18.366273,100.000000,0.000000,55.470000,5.274381,100.000000,0.000000,43.625000,29.102481
14,39.125000,30.888337,8.100000,18.366273,100.000000,0.000000,55.775000,3.703292,100.000000,0.000000,43.625000,29.102481
15,39.340000,31.194621,8.100000,18.366273,100.000000,0.000000,55.775000,3.703292,100.000000,0.000000,42.975000,28.897134
16,39.395000,31.254423,8.100000,18.366273,100.000000,0.000000,55.740000,3.667751,100.000000,0.000000,42.975000,28.897134
17,38.900000,30.989514,8.100000,18.366273,100.000000,0.000000,56.000000,0.000000,100.000000,0.000000,42.975000,28.897134
18,38.865000,30.812445,8.100000,18.366273,100.000000,0.000000,56.000000,0.000000,100.000000,0.000000,44.885000,29.291326
19,38.950000,30.704519,8.100000,18.366273,100.000000,0.000000,56.000000,0.000000,100.000000,0.000000,44.885000,29.291326
20,38.805000,30.199950,8.100000,18.366273,100.000000,0.000000,56.000000,0.000000,100.000000,0.000000,44.885000,29.291326
21,39.615000,31.025099,8.100000,18.366273,100.000000,0.000000,56.000000,0.000000,100.000000,0.000000,41.420000,28.973671
22,39.170000,30.852408,8.100000,18.366273,100.000000,0.000000,56.000000,0.000000,100.000000,0.000000,41.420000,28.973671
23,40.445000,31.112971,8.100000,18.366273,100.000000,0.000000,56.000000,0.000000,100.000000,0.000000,41.420000,28.973671
24,39.680000,30.712499,8.100000,18.366273,100.000000,0.000000,56.125000,1.763342,100.000000,0.000000,42.265000,29.659986
25,39.355000,30.744414,8.100000,18.366273,100.000000,0.000000,56.000000,0.000000,100.000000,0.000000,42.265000,29.659986
26,40.425000,30.873036,8.100000,18.366273,100.000000,0.000000,56.000000,0.000000,100.000000,0.000000,42.265000,29.659986
27,40.045000,30.944676,8.100000,18.366273,100.000000,0.000000,56.000000,0.000000,100.000000,0.000000,42.950000,28.436201
28,40.045000,30.944676,8.100000,18.366273,100.000000,0.000000,56.000000,0.000000,100.000000,0.000000,42.950000,28.436201
29,38.985000,30.395637,8.100000,18.366273,100.000000,0.000000,56.000000,0.000000,100.000000,0.000000,42.950000,28.436201
30,39.770000,30.488967,8.100000,18.366273,100.000000,0.000000,56.000000,0.000000,100.000000,0.000000,42.075000,29.533022
31,39.770000,30.488967,8.100000,18.366273,100.000000,0.000000,56.000000,0.000000,100.000000,0.000000,42.075000,29.533022
32,39.225000,30.299577,8.100000,18.366273,100.000000,0.000000,56.000000,0.000000,100.000000,0.000000,42.075000,29.533022
33,42.205000,31.176962,8.100000,18.366273,100.000000,0.000000,56.000000,0.000000,100.000000,0.000000,48.650000,30.203104
34,42.205000,31.176962,8.100000,18.366273,100.000000,0.000000,56.000000,0.000000,100.000000,0.000000,48.650000,30.203104
35,42.110000,31.276635,8.100000,18.366273,100.000000,0.000000,56.000000,0.000000,100.000000,0.000000,48.650000,30.203104
36,41.680000,30.813270,8.100000,18.366273,100.000000,0.000000,56.000000,0.000000,100.000000,0.000000,44.060000,30.534348
37,41.680000,30.813270,8.100000,18.366273,100.000000,0.000000,56.000000,0.000000,100.000000,0.000000,44.060000,30.534348
38,41.050000,30.550900,8.100000,18.366273,100.000000,0.000000,56.000000,0.000000,100.000000,0.000000,44.060000,30.534348
39,41.595000,30.799691,8.100000,18.366273,100.000000,0.000000,56.000000,0.000000,100.000000,0.000000,41.375000,28.933102
40,41.595000,30.799691,8.100000,18.366273,100.000000,0.000000,56.000000,0.000000,100.000000,0.000000,41.375000,28.933102
41,41.595000,30.799691,8.100000,18.366273,100.000000,0.000000,56.000000,0.000000,100.000000,0.000000,41.375000,28.933102
42,42.875000,30.885747,8.100000,18.366273,100.000000,0.000000,56.000000,0.000000,100.000000,0.000000,41.250000,29.258802
43,42.875000,30.885747,8.100000,18.366273,100.000000,0.000000,56.000000,0.000000,100.000000,0.000000,41.250000,29.258802
44,42.660000,30.887609,8.100000,18.366273,100.000000,0.000000,56.000000,0.000000,100.000000,0.000000,41.250000,29.258802
45,42.995000,30.711968,8.100000,18.366273,100.000000,0.000000,56.000000,0.000000,100.000000,0.000000,44.805000,29.684625
46,42.995000,30.711968,8.100000,18.366273,100.000000,0.000000,56.000000,0.000000,100.000000,0.000000,44.805000,29.684625
47,42.995000,30.711968,8.100000,18.366273,100.000000,0.000000,56.000000,0.000000,100.000000,0.000000,44.805000,29.684625
48,43.495000,30.712863,8.100000,18.366273,100.000000,0.000000,56.000000,0.000000,100.000000,0.000000,43.780000,30.731118
49,43.495000,30.712863,8.100000,18.366273,100.000000,0.000000,56.000000,0.000000,100.000000,0.000000,43.780000,30.731118
50,43.495000,30.712863,8.100000,18.366273,100.000000,0.000000,56.000000,0.000000,100.000000,0.000000,43.780000,30.731118
51,43.175000,30.501547,8.100000,18.366273,100.000000,0.000000,56.000000,0.000000,100.000000,0.000000,43.020000,27.988026
52,43.175000,30.501547,8.100000,18.366273,100.000000,0.000000,56.000000,0.000000,100.000000,0.000000,43.020000,27.988026
53,43.175000,30.501547,8.100000,18.366273,100.000000,0.000000,56.000000,0.000000,100.000000,0.000000,43.020000,27.988026
54,43.740000,29.946826,8.100000,18.366273,100.000000,0.000000,56.000000,0.000000,100.000000,0.000000,43.670000,28.441187
55,43.740000,29.946826,8.100000,18.366273,100.000000,0.000000,56.000000,0.000000,100.000000,0.000000,43.670000,28.441187
56,43.740000,29.946826,8.100000,18.366273,100.000000,0.000000,56.000000,0.000000,100.000000,0.000000,43.670000,28.441187
57,44.975000,29.883513,8.100000,18.366273,100.000000,0.000000,56.000000,0.000000,100.000000,0.000000,46.995000,30.187331
58,44.975000,29.883513,8.100000,18.366273,100.000000,0.000000,56.000000,0.000000,100.000000,0.000000,46.995000,30.187331
59,44.975000,29.883513,8.100000,18.366273,100.000000,0.000000,56.000000,0.000000,100.000000,0.000000,46.995000,30.187331
60,44.900000,29.938437,8.100000,18.366273,100.000000,0.000000,56.000000,0.000000,100.000000,0.000000,43.660000,29.783291
61,44.900000,29.938437,8.100000,18.366273,100.000000,0.000000,56.000000,0.000000,100.000000,0.000000,43.660000,29.783291
62,44.900000,29.938437,8.100000,18.366273,100.000000,0.000000,56.000000,0.000000,100.000000,0.000000,43.660000,29.783291
63,45.045000,30.368948,8.100000,18.366273,100.000000,0.000000,56.000000,0.000000,100.000000,0.000000,43.245000,28.471652
64,45.045000,30.368948,8.100000,18.366273,100.000000,0.000000,56.000000,0.000000,100.000000,0.000000,43.245000,28.471652
65,45.045000,30.368948,8.100000,18.366273,100.000000,0.000000,56.000000,0.000000,100.000000,0.000000,43.245000,28.471652
66,44.440000,30.660176,8.100000,18.366273,100.000000,0.000000,56.000000,0.000000,100.000000,0.000000,41.715000,29.545114
67,44.440000,30.660176,8.100000,18.366273,100.000000,0.000000,56.000000,0.000000,100.000000,0.000000,41.715000,29.545114
68,44.440000,30.660176,8.100000,18.366273,100.000000,0.000000,56.000000,0.000000,100.000000,0.000000,41.715000,29.545114
69,44.390000,30.263475,8.100000,18.366273,100.000000,0.000000,56.000000,0.000000,100.000000,0.000000,43.380000,28.891272
70,44.390000,30.263475,8.100000,18.366273,100.000000,0.000000,56.000000,0.000000,100.000000,0.000000,43.380000,28.891272
71,44.390000,30.263475,8.100000,18.366273,100.000000,0.000000,56.000000,0.000000,100.000000,0.000000,43.380000,28.891272
72,43.195000,30.501590,8.100000,18.366273,100.000000,0.000000,56.000000,0.000000,100.000000,0.000000,43.080000,29.116895
73,43.195000,30.501590,8.100000,18.366273,100.000000,0.000000,56.000000,0.000000,100.000000,0.000000,43.080000,29.116895
74,43.195000,30.501590,8.100000,18.366273,100.000000,0.000000,56.000000,0.000000,100.000000,0.000000,43.080000,29.116895
75,43.935000,30.456539,8.100000,18.366273,100.000000,0.000000,56.000000,0.000000,100.000000,0.000000,43.630000,27.937665
76,43.935000,30.456539,8.100000,18.366273,100.000000,0.000000,56.000000,0.000000,100.000000,0.000000,43.630000,27.937665
77,43.935000,30.456539,8.100000,18.366273,100.000000,0.000000,56.000000,0.000000,100.000000,0.000000,43.630000,27.937665
78,44.680000,30.489795,8.100000,18.366273,100.000000,0.000000,56.000000,0.000000,100.000000,0.000000,43.785000,30.314828
79,44.680000,30.489795,8.100000,18.366273,100.000000,0.000000,56.000000,0.000000,100.000000,0.000000,43.785000,30.314828
80,44.680000,30.489795,8.100000,18.366273,100.000000,0.000000,56.000000,0.000000,100.000000,0.000000,43.785000,30.314828
