Budget,Robust-FW_mean,Robust-FW_std,PARWiS_mean,PARWiS_std,SELECT_mean,SELECT_std,RUCB_mean,RUCB_std,MultiSort_mean,MultiSort_std,Knockout_mean,Knockout_std
1,50.252500,3.491417,11.455000,22.768410,100.000000,0.000000,50.750000,3.526684,100.000000,0.000000,98.515000,12.033693
2,50.252500,3.491417,11.455000,22.768410,100.000000,0.000000,49.647500,9.171668,100.000000,0.000000,98.515000,12.033693
3,50.252500,3.491417,11.455000,22.768410,100.000000,0.000000,49.757500,9.753330,100.000000,0.000000,97.525000,15.456370
4,48.292500,10.169965,11.455000,22.768410,100.000000,0.000000,49.335000,11.305873,100.000000,0.000000,97.525000,15.456370
5,48.287500,10.192943,11.455000,22.768410,100.000000,0.000000,48.880000,12.615788,100.000000,0.000000,97.525000,15.456370
6,48.285000,10.204228,11.455000,22.768410,100.000000,0.000000,49.165000,12.589193,100.000000,0.000000,99.010000,9.850376
7,47.815000,11.131297,11.455000,22.768410,100.000000,0.000000,48.952500,13.353520,100.000000,0.000000,99.010000,9.850376
8,47.805000,11.171928,11.455000,22.768410,100.000000,0.000000,49.002500,13.725023,100.000000,0.000000,99.010000,9.850376
9,47.807500,11.161393,11.455000,22.768410,100.000000,0.000000,48.767500,14.481616,100.000000,0.000000,98.020000,13.860000
10,46.615000,13.176846,11.455000,22.768410,100.000000,0.000000,48.560000,15.169918,100.000000,0.000000,98.020000,13.860000
11,46.600000,13.227339,11.455000,22.768410,100.000000,0.000000,48.850000,15.164844,100.000000,0.000000,98.020000,13.860000
12,46.595000,13.243903,11.455000,22.768410,100.000000,0.000000,49.117500,15.167150,100.000000,0.000000,99.010000,9.850376
13,46.125000,15.483116,11.455000,22.768410,100.000000,0.000000,49.165000,15.471677,100.000000,0.000000,99.010000,9.850376
14,45.165000,15.180095,11.455000,22.768410,100.000000,0.000000,49.410000,15.463809,100.000000,0.000000,99.010000,9.850376
15,45.622500,15.401907,11.455000,22.768410,100.000000,0.000000,48.930000,16.337230,100.000000,0.000000,97.525000,15.456370
16,45.167500,15.885550,11.455000,22.768410,100.000000,0.000000,48.955000,16.596174,100.000000,0.000000,97.525000,15.456370
17,45.137500,15.963078,11.455000,22.768410,100.000000,0.000000,48.277500,17.605801,100.000000,0.000000,97.525000,15.456370
18,45.150000,15.960185,11.455000,22.768410,100.000000,0.000000,48.055000,18.096877,100.000000,0.000000,98.020000,13.860000
19,43.527500,17.579761,11.455000,22.768410,100.000000,0.000000,47.360000,18.964187,100.000000,0.000000,98.020000,13.860000
20,43.482500,17.709417,11.455000,22.768410,100.000000,0.000000,47.112500,19.402090,100.000000,0.000000,98.020000,13.860000
21,43.467500,17.715465,11.455000,22.768410,100.000000,0.000000,47.410000,19.394700,100.000000,0.000000,98.515000,12.033693
22,42.142500,18.737488,11.455000,22.768410,100.000000,0.000000,47.365000,19.621590,100.000000,0.000000,98.515000,12.033693
23,42.962500,19.155087,11.455000,22.768410,100.000000,0.000000,47.405000,19.817820,100.000000,0.000000,98.515000,12.033693
24,42.090000,18.839636,11.455000,22.768410,100.000000,0.000000,47.655000,19.808041,100.000000,0.000000,98.020000,13.860000
25,40.730000,19.774595,11.455000,22.768410,100.000000,0.000000,47.182500,20.342700,100.000000,0.000000,98.020000,13.860000
26,40.665000,19.915830,11.455000,22.768410,100.000000,0.000000,47.182500,20.499523,100.000000,0.000000,98.020000,13.860000
27,40.665000,19.905659,11.455000,22.768410,100.000000,0.000000,46.457500,21.199574,100.000000,0.000000,97.030000,16.888135
28,39.790000,20.388683,11.455000,22.768410,100.000000,0.000000,46.400000,21.350000,100.000000,0.000000,97.030000,16.888135
29,39.775000,20.434575,11.455000,22.768410,100.000000,0.000000,46.150000,21.626604,100.000000,0.000000,97.030000,16.888135
30,39.757500,20.451221,11.455000,22.768410,100.000000,0.000000,45.420000,22.071840,100.000000,0.000000,96.535000,18.194196
31,39.332500,20.643720,11.455000,22.768410,100.000000,0.000000,45.652500,22.064859,100.000000,0.000000,96.535000,18.194196
32,39.307500,20.684032,11.455000,22.768410,100.000000,0.000000,45.655000,22.128623,100.000000,0.000000,96.535000,18.194196
33,39.322500,20.678787,11.455000,22.768410,100.000000,0.000000,45.637500,22.323863,100.000000,0.000000,98.020000,13.860000
34,38.660000,20.998140,11.455000,22.768410,100.000000,0.000000,45.105000,22.669505,100.000000,0.000000,98.020000,13.860000
35,39.065000,21.201964,11.455000,22.768410,100.000000,0.000000,45.055000,22.813745,100.000000,0.000000,98.020000,13.860000
36,38.655000,21.013531,11.455000,22.768410,100.000000,0.000000,44.802500,22.983304,100.000000,0.000000,97.030000,16.888135
37,38.225000,21.187718,11.455000,22.768410,100.000000,0.000000,44.810000,23.023822,100.000000,0.000000,97.030000,16.888135
38,38.200000,21.247117,11.455000,22.768410,100.000000,0.000000,44.540000,23.199050,100.000000,0.000000,97.030000,16.888135
39,38.227500,21.190611,11.455000,22.768410,100.000000,0.000000,44.752500,23.209211,100.000000,0.000000,99.505000,6.982834
40,38.020000,21.254343,11.455000,22.768410,100.000000,0.000000,44.690000,23.373305,100.000000,0.000000,99.505000,6.982834
41,38.005000,21.296067,11.455000,22.768410,100.000000,0.000000,43.940000,23.667201,100.000000,0.000000,99.505000,6.982834
42,38.045000,21.211977,11.455000,22.768410,100.000000,0.000000,44.162500,23.653485,100.000000,0.000000,98.020000,13.860000
43,37.437500,21.408756,11.455000,22.768410,100.000000,0.000000,44.117500,23.788599,100.000000,0.000000,98.020000,13.860000
44,37.782500,21.659731,11.455000,22.768410,100.000000,0.000000,43.647500,23.943673,100.000000,0.000000,98.020000,13.860000
