Budget,Robust-FW_mean,Robust-FW_std,PARWiS_mean,PARWiS_std,SELECT_mean,SELECT_std,RUCB_mean,RUCB_std,MultiSort_mean,MultiSort_std,Knockout_mean,Knockout_std
1,50.500000,7.000357,37.915000,31.627524,100.000000,0.000000,50.250000,6.077623,100.000000,0.000000,99.505000,6.982834
2,50.005000,6.982834,37.915000,31.627524,100.000000,0.000000,49.897500,8.513709,100.000000,0.000000,99.505000,6.982834
3,50.005000,6.982834,37.915000,31.627524,100.000000,0.000000,49.790000,9.759785,100.000000,0.000000,99.010000,9.850376
4,49.030000,9.714891,37.915000,31.627524,100.000000,0.000000,49.647500,10.834759,100.000000,0.000000,99.010000,9.850376
5,49.020000,9.763688,37.915000,31.627524,100.000000,0.000000,49.970000,10.831279,100.000000,0.000000,99.010000,9.850376
6,49.027500,9.726921,37.915000,31.627524,100.000000,0.000000,49.537500,12.250606,100.000000,0.000000,99.010000,9.850376
7,48.795000,11.279981,37.915000,31.627524,100.000000,0.000000,49.617500,12.656123,100.000000,0.000000,99.010000,9.850376
8,49.270000,11.383633,37.915000,31.627524,100.000000,0.000000,49.455000,13.428998,100.000000,0.000000,99.010000,9.850376
9,49.280000,11.384599,37.915000,31.627524,100.000000,0.000000,49.522500,13.802382,100.000000,0.000000,97.030000,16.888135
10,48.325000,13.948275,37.915000,31.627524,100.000000,0.000000,49.595000,14.139695,100.000000,0.000000,97.030000,16.888135
11,48.310000,13.997460,37.915000,31.627524,100.000000,0.000000,49.645000,14.442696,100.000000,0.000000,97.030000,16.888135
12,48.320000,13.913396,37.915000,31.627524,100.000000,0.000000,49.697500,14.754143,100.000000,0.000000,99.505000,6.982834
13,48.097500,15.001058,37.915000,31.627524,100.000000,0.000000,49.770000,15.087067,100.000000,0.000000,99.505000,6.982834
14,48.082500,14.951570,37.915000,31.627524,100.000000,0.000000,49.550000,15.689168,100.000000,0.000000,99.505000,6.982834
15,48.090000,14.976545,37.915000,31.627524,100.000000,0.000000,49.860000,15.693483,100.000000,0.000000,98.515000,12.033693
16,48.342500,16.664376,37.915000,31.627524,100.000000,0.000000,49.667500,16.287670,100.000000,0.000000,98.515000,12.033693
17,47.877500,16.570719,37.915000,31.627524,100.000000,0.000000,49.975000,16.254442,100.000000,0.000000,98.515000,12.033693
18,48.785000,16.638548,37.915000,31.627524,100.000000,0.000000,50.040000,16.508207,100.000000,0.000000,98.020000,13.860000
19,48.102500,17.364137,37.915000,31.627524,100.000000,0.000000,49.610000,17.269638,100.000000,0.000000,98.020000,13.860000
20,48.987500,17.425085,37.915000,31.627524,100.000000,0.000000,49.147500,17.965091,100.000000,0.000000,98.020000,13.860000
21,48.555000,17.438950,37.915000,31.627524,100.000000,0.000000,49.457500,17.945179,100.000000,0.000000,98.515000,12.033693
22,48.105000,17.857533,37.915000,31.627524,100.000000,0.000000,49.705000,17.944650,100.000000,0.000000,98.515000,12.033693
23,48.550000,17.860991,37.915000,31.627524,100.000000,0.000000,49.515000,18.364974,100.000000,0.000000,98.515000,12.033693
24,48.567500,17.903469,37.915000,31.627524,100.000000,0.000000,49.305000,18.796927,100.000000,0.000000,99.505000,6.982834
25,47.455000,19.002052,37.915000,31.627524,100.000000,0.000000,49.602500,18.793037,100.000000,0.000000,99.505000,6.982834
26,48.740000,19.094957,37.915000,31.627524,100.000000,0.000000,49.857500,18.743958,100.000000,0.000000,99.505000,6.982834
27,47.937500,18.995785,37.915000,31.627524,100.000000,0.000000,49.660000,19.086301,100.000000,0.000000,98.515000,12.033693
28,47.740000,19.082188,37.915000,31.627524,100.000000,0.000000,49.867500,19.163342,100.000000,0.000000,98.515000,12.033693
29,47.700000,19.073083,37.915000,31.627524,100.000000,0.000000,49.612500,19.540051,100.000000,0.000000,98.515000,12.033693
30,47.742500,18.992431,37.915000,31.627524,100.000000,0.000000,49.400000,19.861458,100.000000,0.000000,99.010000,9.850376
31,46.907500,19.672320,37.915000,31.627524,100.000000,0.000000,49.362500,20.118085,100.000000,0.000000,99.010000,9.850376
32,47.252500,19.841371,37.915000,31.627524,100.000000,0.000000,49.392500,20.252338,100.000000,0.000000,99.010000,9.850376
33,46.880000,19.708643,37.915000,31.627524,100.000000,0.000000,49.070000,20.783289,100.000000,0.000000,98.515000,12.033693
34,46.920000,21.035710,37.915000,31.627524,100.000000,0.000000,49.012500,21.013593,100.000000,0.000000,98.515000,12.033693
35,46.445000,20.869223,37.915000,31.627524,100.000000,0.000000,49.200000,21.091349,100.000000,0.000000,98.515000,12.033693
36,46.530000,20.904344,37.915000,31.627524,100.000000,0.000000,49.457500,21.089439,100.000000,0.000000,99.505000,6.982834
37,45.482500,22.059486,37.915000,31.627524,100.000000,0.000000,49.662500,21.211491,100.000000,0.000000,99.505000,6.982834
38,45.807500,22.043858,37.915000,31.627524,100.000000,0.000000,49.885000,21.216839,100.000000,0.000000,99.505000,6.982834
39,45.375000,22.197790,37.915000,31.627524,100.000000,0.000000,49.632500,21.491363,100.000000,0.000000,98.515000,12.033693
40,44.777500,23.307279,37.915000,31.627524,100.000000,0.000000,49.882500,21.456758,100.000000,0.000000,98.515000,12.033693
41,44.337500,23.103027,37.915000,31.627524,100.000000,0.000000,49.872500,21.598264,100.000000,0.000000,98.515000,12.033693
42,45.165000,23.433422,37.915000,31.627524,100.000000,0.000000,50.122500,21.585441,100.000000,0.000000,98.020000,13.860000
43,45.427500,23.482834,37.915000,31.627524,100.000000,0.000000,50.372500,21.572957,100.000000,0.000000,98.020000,13.860000
44,45.017500,23.361420,37.915000,31.627524,100.000000,0.000000,50.640000,21.587911,100.000000,0.000000,98.020000,13.860000
45,44.975000,23.379572,37.915000,31.627524,100.000000,0.000000,50.642500,21.689305,100.000000,0.000000,98.515000,12.033693
46,44.372500,23.638369,37.915000,31.627524,100.000000,0.000000,50.617500,21.895717,100.000000,0.000000,98.515000,12.033693
47,44.732500,23.717076,37.915000,31.627524,100.000000,0.000000,50.185000,22.222304,100.000000,0.000000,98.515000,12.033693
48,44.392500,23.599305,37.915000,31.627524,100.000000,0.000000,50.355000,22.332912,100.000000,0.000000,98.020000,13.860000
49,44.052500,23.950751,37.915000,31.627524,100.000000,0.000000,50.580000,22.309384,100.000000,0.000000,98.020000,13.860000
