Budget,Robust-FW_mean,Robust-FW_std,PARWiS_mean,PARWiS_std,SELECT_mean,SELECT_std,RUCB_mean,RUCB_std,MultiSort_mean,MultiSort_std,Knockout_mean,Knockout_std
1,50.005000,4.925188,26.430000,28.008884,100.000000,0.000000,50.250000,6.077623,100.000000,0.000000,98.020000,13.860000
2,50.005000,4.925188,26.430000,28.008884,100.000000,0.000000,50.507500,6.052784,100.000000,0.000000,98.020000,13.860000
3,50.005000,4.925188,26.430000,28.008884,100.000000,0.000000,50.222500,7.730734,100.000000,0.000000,96.040000,19.399959
4,49.525000,6.825275,26.430000,28.008884,100.000000,0.000000,50.142500,8.419824,100.000000,0.000000,96.040000,19.399959
5,50.000000,6.947302,26.430000,28.008884,100.000000,0.000000,49.820000,9.685690,100.000000,0.000000,96.040000,19.399959
6,49.522500,6.842751,26.430000,28.008884,100.000000,0.000000,49.740000,10.259137,100.000000,0.000000,98.515000,12.033693
7,49.532500,8.330978,26.430000,28.008884,100.000000,0.000000,49.190000,11.750804,100.000000,0.000000,98.515000,12.033693
8,49.047500,8.260236,26.430000,28.008884,100.000000,0.000000,49.097500,12.153981,100.000000,0.000000,98.515000,12.033693
9,49.042500,8.288362,26.430000,28.008884,100.000000,0.000000,49.035000,12.602828,100.000000,0.000000,99.010000,9.850376
10,48.815000,10.043693,26.430000,28.008884,100.000000,0.000000,48.962500,12.997109,100.000000,0.000000,99.010000,9.850376
11,48.325000,10.021695,26.430000,28.008884,100.000000,0.000000,48.632500,13.760766,100.000000,0.000000,99.010000,9.850376
12,48.340000,9.952357,26.430000,28.008884,100.000000,0.000000,48.557500,14.106397,100.000000,0.000000,97.030000,16.888135
13,48.107500,13.251592,26.430000,28.008884,100.000000,0.000000,48.497500,14.474849,100.000000,0.000000,97.030000,16.888135
14,46.712500,12.849848,26.430000,28.008884,100.000000,0.000000,48.180000,15.124983,100.000000,0.000000,97.030000,16.888135
15,46.690000,12.924643,26.430000,28.008884,100.000000,0.000000,47.862500,15.734988,100.000000,0.000000,98.515000,12.033693
16,45.547500,14.467602,26.430000,28.008884,100.000000,0.000000,47.555000,16.299984,100.000000,0.000000,98.515000,12.033693
17,45.982500,14.642607,26.430000,28.008884,100.000000,0.000000,47.502500,16.620732,100.000000,0.000000,98.515000,12.033693
18,46.007500,14.601411,26.430000,28.008884,100.000000,0.000000,47.420000,16.874051,100.000000,0.000000,98.020000,13.860000
19,46.255000,16.261764,26.430000,28.008884,100.000000,0.000000,46.862500,17.635400,100.000000,0.000000,98.020000,13.860000
20,44.925000,15.785258,26.430000,28.008884,100.000000,0.000000,46.500000,18.087357,100.000000,0.000000,98.020000,13.860000
21,44.905000,15.831329,26.430000,28.008884,100.000000,0.000000,46.442500,18.331883,100.000000,0.000000,97.525000,15.456370
22,44.697500,16.634294,26.430000,28.008884,100.000000,0.000000,46.337500,18.532197,100.000000,0.000000,97.525000,15.456370
23,44.712500,16.517221,26.430000,28.008884,100.000000,0.000000,46.260000,18.731855,100.000000,0.000000,97.525000,15.456370
24,44.267500,16.408220,26.430000,28.008884,100.000000,0.000000,45.937500,19.092075,100.000000,0.000000,98.020000,13.860000
25,44.297500,16.909768,26.430000,28.008884,100.000000,0.000000,45.887500,19.305986,100.000000,0.000000,98.020000,13.860000
26,43.892500,16.676246,26.430000,28.008884,100.000000,0.000000,46.052500,19.309544,100.000000,0.000000,98.020000,13.860000
27,43.870000,16.712289,26.430000,28.008884,100.000000,0.000000,45.980000,19.539629,100.000000,0.000000,98.515000,12.033693
28,43.242500,17.771816,26.430000,28.008884,100.000000,0.000000,46.120000,19.502387,100.000000,0.000000,98.515000,12.033693
29,43.212500,17.739394,26.430000,28.008884,100.000000,0.000000,46.010000,19.671042,100.000000,0.000000,98.515000,12.033693
30,43.227500,17.767020,26.430000,28.008884,100.000000,0.000000,45.657500,20.090954,100.000000,0.000000,99.010000,9.850376
31,42.615000,18.181908,26.430000,28.008884,100.000000,0.000000,45.560000,20.254355,100.000000,0.000000,99.010000,9.850376
32,42.580000,18.226590,26.430000,28.008884,100.000000,0.000000,45.717500,20.240898,100.000000,0.000000,99.010000,9.850376
33,42.612500,18.163661,26.430000,28.008884,100.000000,0.000000,45.395000,20.536893,100.000000,0.000000,98.020000,13.860000
34,41.985000,19.060752,26.430000,28.008884,100.000000,0.000000,45.290000,20.717587,100.000000,0.000000,98.020000,13.860000
35,42.405000,19.062620,26.430000,28.008884,100.000000,0.000000,44.670000,21.148194,100.000000,0.000000,98.020000,13.860000
36,41.582500,18.799919,26.430000,28.008884,100.000000,0.000000,44.552500,21.352716,100.000000,0.000000,98.515000,12.033693
37,40.995000,20.113117,26.430000,28.008884,100.000000,0.000000,44.680000,21.364400,100.000000,0.000000,98.515000,12.033693
38,40.560000,19.738513,26.430000,28.008884,100.000000,0.000000,44.555000,21.478233,100.000000,0.000000,98.515000,12.033693
39,40.112500,19.669611,26.430000,28.008884,100.000000,0.000000,44.450000,21.602141,100.000000,0.000000,98.515000,12.033693
40,39.565000,19.856693,26.430000,28.008884,100.000000,0.000000,44.372500,21.724065,100.000000,0.000000,98.515000,12.033693
41,39.965000,19.998032,26.430000,28.008884,100.000000,0.000000,44.477500,21.758349,100.000000,0.000000,98.515000,12.033693
42,39.962500,20.145901,26.430000,28.008884,100.000000,0.000000,44.335000,21.918834,100.000000,0.000000,98.020000,13.860000
43,39.815000,20.147538,26.430000,28.008884,100.000000,0.000000,43.757500,22.263983,100.000000,0.000000,98.020000,13.860000
44,40.190000,20.274773,26.430000,28.008884,100.000000,0.000000,43.375000,22.525083,100.000000,0.000000,98.020000,13.860000
45,39.860000,20.037413,26.430000,28.008884,100.000000,0.000000,43.495000,22.529369,100.000000,0.000000,99.010000,9.850376
46,39.520000,20.120750,26.430000,28.008884,100.000000,0.000000,43.167500,22.741112,100.000000,0.000000,99.010000,9.850376
47,39.915000,20.212812,26.430000,28.008884,100.000000,0.000000,43.297500,22.815625,100.000000,0.000000,99.010000,9.850376
48,39.962500,20.303567,26.430000,28.008884,100.000000,0.000000,43.172500,22.887038,100.000000,0.000000,99.010000,9.850376
49,39.835000,20.281834,26.430000,28.008884,100.000000,0.000000,43.070000,22.978688,100.000000,0.000000,99.010000,9.850376
50,40.205000,20.363152,26.430000,28.008884,100.000000,0.000000,42.700000,23.188413,100.000000,0.000000,99.010000,9.850376
51,39.877500,20.181520,26.430000,28.008884,100.000000,0.000000,42.782500,23.212528,100.000000,0.000000,99.010000,9.850376
52,39.117500,20.475838,26.430000,28.008884,100.000000,0.000000,42.897500,23.221235,100.000000,0.000000,99.010000,9.850376
53,39.452500,20.588322,26.430000,28.008884,100.000000,0.000000,42.742500,23.359472,100.000000,0.000000,99.010000,9.850376
54,39.552500,20.683834,26.430000,28.008884,100.000000,0.000000,42.637500,23.408062,100.000000,0.000000,99.010000,9.850376
55,38.265000,21.099225,26.430000,28.008884,100.000000,0.000000,42.502500,23.477462,100.000000,0.000000,99.010000,9.850376
56,38.515000,21.328438,26.430000,28.008884,100.000000,0.000000,42.150000,23.632446,100.000000,0.000000,99.010000,9.850376
57,38.200000,21.200472,26.430000,28.008884,100.000000,0.000000,42.287500,23.593931,100.000000,0.000000,97.525000,15.456370
58,37.905000,21.212814,26.430000,28.008884,100.000000,0.000000,42.412500,23.587626,100.000000,0.000000,97.525000,15.456370
59,37.850000,21.236054,26.430000,28.008884,100.000000,0.000000,42.082500,23.722499,100.000000,0.000000,97.525000,15.456370
60,37.882500,21.240173,26.430000,28.008884,100.000000,0.000000,41.980000,23.815113,100.000000,0.000000,97.525000,15.456370
61,36.897500,21.382253,26.430000,28.008884,100.000000,0.000000,42.140000,23.802319,100.000000,0.000000,97.525000,15.456370
62,37.087500,21.644828,26.430000,28.008884,100.000000,0.000000,42.272500,23.762460,100.000000,0.000000,97.525000,15.456370
63,37.075000,21.828408,26.430000,28.008884,100.000000,0.000000,42.362500,23.812546,100.000000,0.000000,98.515000,12.033693
64,36.582500,21.886684,26.430000,28.008884,100.000000,0.000000,42.470000,23.782485,100.000000,0.000000,98.515000,12.033693
65,36.492500,21.932024,26.430000,28.008884,100.000000,0.000000,42.542500,23.833945,100.000000,0.000000,98.515000,12.033693
66,36.515000,21.935867,26.430000,28.008884,100.000000,0.000000,42.182500,23.969990,100.000000,0.000000,98.515000,12.033693
67,36.802500,22.693220,26.430000,28.008884,100.000000,0.000000,41.822500,24.041157,100.000000,0.000000,98.515000,12.033693
68,35.772500,21.932955,26.430000,28.008884,100.000000,0.000000,41.937500,24.041211,100.000000,0.000000,98.515000,12.033693
69,35.615000,22.057295,26.430000,28.008884,100.000000,0.000000,42.060000,24.022154,100.000000,0.000000,99.010000,9.850376
70,35.705000,22.243156,26.430000,28.008884,100.000000,0.000000,41.492500,24.170047,100.000000,0.000000,99.010000,9.850376
71,35.350000,21.956719,26.430000,28.008884,100.000000,0.000000,41.165000,24.188433,100.000000,0.000000,99.010000,9.850376
72,35.297500,21.992959,26.430000,28.008884,100.000000,0.000000,40.785000,24.236930,100.000000,0.000000,98.020000,13.860000
73,34.885000,21.946339,26.430000,28.008884,100.000000,0.000000,40.640000,24.281946,100.000000,0.000000,98.020000,13.860000
74,35.085000,22.127873,26.430000,28.008884,100.000000,0.000000,40.492500,24.343196,100.000000,0.000000,98.020000,13.860000
75,34.822500,21.944185,26.430000,28.008884,100.000000,0.000000,40.507500,24.462700,100.000000,0.000000,99.010000,9.850376
76,34.212500,21.923699,26.430000,28.008884,100.000000,0.000000,40.400000,24.480860,100.000000,0.000000,99.010000,9.850376
77,34.127500,21.953644,26.430000,28.008884,100.000000,0.000000,40.275000,24.548103,100.000000,0.000000,99.010000,9.850376
78,34.090000,22.015208,26.430000,28.008884,100.000000,0.000000,40.390000,24.524384,100.000000,0.000000,97.525000,15.456370
79,34.047500,22.242673,26.430000,28.008884,100.000000,0.000000,40.285000,24.540605,100.000000,0.000000,97.525000,15.456370
