Budget,Robust-FW_mean,Robust-FW_std,PARWiS_mean,PARWiS_std,SELECT_mean,SELECT_std,RUCB_mean,RUCB_std,MultiSort_mean,MultiSort_std,Knockout_mean,Knockout_std
1,50.500000,0.000000,37.727500,30.639835,100.000000,0.000000,49.750000,7.806247,100.000000,0.000000,99.505000,6.982834
2,50.500000,0.000000,37.727500,30.639835,100.000000,0.000000,49.595000,9.189585,100.000000,0.000000,99.505000,6.982834
3,50.500000,0.000000,37.727500,30.639835,100.000000,0.000000,49.660000,9.812589,100.000000,0.000000,97.525000,15.456370
4,50.015000,6.841767,37.727500,30.639835,100.000000,0.000000,49.702500,10.367871,100.000000,0.000000,97.525000,15.456370
5,50.985000,6.841767,37.727500,30.639835,100.000000,0.000000,49.500000,11.410631,100.000000,0.000000,97.525000,15.456370
6,50.500000,6.858936,37.727500,30.639835,100.000000,0.000000,49.525000,11.923585,100.000000,0.000000,97.525000,15.456370
7,50.262500,9.043912,37.727500,30.639835,100.000000,0.000000,49.300000,12.806737,100.000000,0.000000,97.525000,15.456370
8,50.247500,9.017483,37.727500,30.639835,100.000000,0.000000,49.050000,13.573412,100.000000,0.000000,97.525000,15.456370
9,50.252500,9.017760,37.727500,30.639835,100.000000,0.000000,48.835000,14.326995,100.000000,0.000000,98.515000,12.033693
10,50.025000,10.635524,37.727500,30.639835,100.000000,0.000000,48.852500,14.650068,100.000000,0.000000,98.515000,12.033693
11,49.555000,10.626240,37.727500,30.639835,100.000000,0.000000,48.880000,14.991434,100.000000,0.000000,98.515000,12.033693
12,50.010000,10.679064,37.727500,30.639835,100.000000,0.000000,49.117500,15.044682,100.000000,0.000000,99.010000,9.850376
13,50.252500,12.110945,37.727500,30.639835,100.000000,0.000000,48.637500,16.001089,100.000000,0.000000,99.010000,9.850376
14,49.777500,12.014335,37.727500,30.639835,100.000000,0.000000,48.352500,16.616392,100.000000,0.000000,99.010000,9.850376
15,49.777500,12.091391,37.727500,30.639835,100.000000,0.000000,48.110000,17.162107,100.000000,0.000000,99.010000,9.850376
16,48.847500,13.617378,37.727500,30.639835,100.000000,0.000000,48.352500,17.155742,100.000000,0.000000,99.010000,9.850376
17,49.277500,13.647133,37.727500,30.639835,100.000000,0.000000,48.137500,17.692932,100.000000,0.000000,99.010000,9.850376
18,48.820000,13.675164,37.727500,30.639835,100.000000,0.000000,47.667500,18.356149,100.000000,0.000000,98.515000,12.033693
19,49.057500,14.700355,37.727500,30.639835,100.000000,0.000000,47.432500,18.781818,100.000000,0.000000,98.515000,12.033693
20,48.612500,14.651744,37.727500,30.639835,100.000000,0.000000,47.132500,19.237040,100.000000,0.000000,98.515000,12.033693
21,48.570000,14.652307,37.727500,30.639835,100.000000,0.000000,46.645000,19.755037,100.000000,0.000000,97.525000,15.456370
22,47.675000,15.743391,37.727500,30.639835,100.000000,0.000000,46.835000,19.793945,100.000000,0.000000,97.525000,15.456370
23,47.645000,15.794903,37.727500,30.639835,100.000000,0.000000,46.587500,20.196995,100.000000,0.000000,97.525000,15.456370
24,47.660000,15.726630,37.727500,30.639835,100.000000,0.000000,45.850000,20.879955,100.000000,0.000000,97.525000,15.456370
25,46.775000,17.210880,37.727500,30.639835,100.000000,0.000000,46.100000,20.878637,100.000000,0.000000,97.525000,15.456370
26,46.315000,17.223263,37.727500,30.639835,100.000000,0.000000,46.300000,20.935317,100.000000,0.000000,97.525000,15.456370
27,46.330000,17.172903,37.727500,30.639835,100.000000,0.000000,46.055000,21.211541,100.000000,0.000000,98.020000,13.860000
28,46.572500,18.451517,37.727500,30.639835,100.000000,0.000000,46.035000,21.360449,100.000000,0.000000,98.020000,13.860000
29,45.707500,18.280883,37.727500,30.639835,100.000000,0.000000,46.200000,21.479292,100.000000,0.000000,98.020000,13.860000
30,46.535000,18.496048,37.727500,30.639835,100.000000,0.000000,46.187500,21.604770,100.000000,0.000000,98.515000,12.033693
31,46.332500,18.536941,37.727500,30.639835,100.000000,0.000000,46.407500,21.605964,100.000000,0.000000,98.515000,12.033693
32,46.757500,18.579961,37.727500,30.639835,100.000000,0.000000,45.890000,22.058001,100.000000,0.000000,98.515000,12.033693
33,46.352500,18.490862,37.727500,30.639835,100.000000,0.000000,45.897500,22.212513,100.000000,0.000000,99.010000,9.850376
34,46.372500,19.322073,37.727500,30.639835,100.000000,0.000000,45.872500,22.412943,100.000000,0.000000,99.010000,9.850376
35,45.557500,19.049552,37.727500,30.639835,100.000000,0.000000,46.072500,22.421440,100.000000,0.000000,99.010000,9.850376
36,45.952500,19.131296,37.727500,30.639835,100.000000,0.000000,45.810000,22.696506,100.000000,0.000000,99.010000,9.850376
37,45.775000,20.068430,37.727500,30.639835,100.000000,0.000000,46.032500,22.678518,100.000000,0.000000,99.010000,9.850376
38,45.340000,19.878051,37.727500,30.639835,100.000000,0.000000,45.950000,22.856782,100.000000,0.000000,99.010000,9.850376
39,44.870000,19.900078,37.727500,30.639835,100.000000,0.000000,46.130000,22.914528,100.000000,0.000000,99.010000,9.850376
40,44.687500,19.875766,37.727500,30.639835,100.000000,0.000000,46.345000,22.887955,100.000000,0.000000,99.010000,9.850376
41,44.687500,19.933542,37.727500,30.639835,100.000000,0.000000,46.077500,23.092970,100.000000,0.000000,99.010000,9.850376
42,44.685000,19.870789,37.727500,30.639835,100.000000,0.000000,45.572500,23.244913,100.000000,0.000000,99.010000,9.850376
